酒蔵,元データ,処理,理由,統合先
今田酒造本店,FUKUCHO LEGACY I 500ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,FUKUCHO LEGACY I
今田酒造本店,FUKUCHO LEGACY II 500ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,FUKUCHO LEGACY II
今田酒造本店,Fukucho “Forgotten Fortune” Junmai Sake 720ml,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
今田酒造本店,Fukucho “Moon on the Water” Junmai Ginjo Sake 720ml,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
今田酒造本店,Fukucho “Seaside” Junmai Sparkling Sake 500ml,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
今田酒造本店,富久長 Bon Time Style:B 500ml,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
今田酒造本店,富久長 Bon Time Style:B Sparkling 500ml,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
今田酒造本店,富久長 八反草 サタケシリーズ GENKEI 720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,八反草 サタケシリーズ GENKEI
今田酒造本店,富久長 八反草 サタケシリーズ GENKEI 生酒 720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,八反草 サタケシリーズ GENKEI
今田酒造本店,富久長 八反草 サタケシリーズ HENPEI 720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,八反草 サタケシリーズ HENPEI
今田酒造本店,富久長 八反草 サタケシリーズ HENPEI 生酒 720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,八反草 サタケシリーズ HENPEI
今田酒造本店,富久長 八反草 純米 ハイブリッド生酛 特別栽培米R3 720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,八反草 純米 ハイブリッド生酛 特別栽培米R3
今田酒造本店,富久長 八反草 純米 ハイブリッド生酛 特別栽培米R4 720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,八反草 純米 ハイブリッド生酛 特別栽培米R3
今田酒造本店,富久長 八反草 純米 初しぼり 生酒 1800ml,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
今田酒造本店,富久長 八反草 純米 初しぼり 生酒 720ml,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
今田酒造本店,富久長 八反草 純米 軟水仕込 辛口 1800ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,八反草 純米 軟水仕込 辛口
今田酒造本店,富久長 八反草 純米 軟水仕込 辛口 720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,八反草 純米 軟水仕込 辛口
今田酒造本店,富久長 八反草 純米 軟水仕込 辛口 直汲み 生酒 1800ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,八反草 純米 軟水仕込 辛口
今田酒造本店,富久長 八反草 純米 軟水仕込 辛口 直汲み 生酒 720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,八反草 純米 軟水仕込 辛口
今田酒造本店,富久長 八反草 純米吟醸 1800ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,八反草 純米吟醸
今田酒造本店,富久長 八反草 純米吟醸 720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,八反草 純米吟醸
今田酒造本店,富久長 八反草 純米吟醸 ハイブリッド生酛 720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,八反草 純米吟醸 ハイブリッド生酛
今田酒造本店,富久長 八反草 純米吟醸 直汲み 生酒 1800ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,八反草 純米吟醸
今田酒造本店,富久長 八反草 純米吟醸 直汲み 生酒 720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,八反草 純米吟醸
今田酒造本店,富久長 八反草 純米大吟醸 【特別栽培米】 720ml 化粧箱入り,SKU統合,容量・包装・商品コード違いを商品単位へ統合,八反草 純米大吟醸
今田酒造本店,富久長 八反草 純米大吟醸 はしり 【特別栽培米】 720ml 化粧箱入り,SKU統合,容量・包装・商品コード違いを商品単位へ統合,八反草 純米大吟醸
今田酒造本店,富久長 八反草 純米大吟醸 妙花風 【特別栽培米】 720ml 化粧箱入り,SKU統合,容量・包装・商品コード違いを商品単位へ統合,八反草 純米大吟醸
今田酒造本店,富久長 八反草 純米大吟醸 正花風 【JAL搭載限定ラベル】 720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,八反草 純米大吟醸
今田酒造本店,富久長 八反錦 純米 初しぼり 生酒 1800ml,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
今田酒造本店,富久長 八反錦 純米 初しぼり 生酒 720ml,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
今田酒造本店,富久長 寿〈ことほぎ〉 純米 しぼりたて 生酒 1800ml,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
今田酒造本店,富久長 寿〈ことほぎ〉 純米 しぼりたて 生酒 720ml,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
今田酒造本店,富久長 山田錦 純米吟醸 1800ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,山田錦 純米吟醸
今田酒造本店,富久長 山田錦 純米吟醸 720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,山田錦 純米吟醸
今田酒造本店,富久長 山田錦 純米吟醸 直汲み 生酒 1800ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,山田錦 純米吟醸
今田酒造本店,富久長 山田錦 純米吟醸 直汲み 生酒 720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,山田錦 純米吟醸
今田酒造本店,富久長 海風土 Seafood 純米 1800ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,海風土 Seafood 純米
今田酒造本店,富久長 海風土 Seafood 純米 720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,海風土 Seafood 純米
今田酒造本店,富久長 海風土 Seafood 純米 うすにごり 720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,海風土 Seafood 純米
今田酒造本店,富久長 海風土 Seafood 純米スパークリング 500ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,海風土 Seafood 純米
今田酒造本店,富久長 秋櫻〈コスモス〉 純米 ひやおろし 1800ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,秋櫻〈コスモス〉 純米 ひやおろし
今田酒造本店,富久長 秋櫻〈コスモス〉 純米 ひやおろし 720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,秋櫻〈コスモス〉 純米 ひやおろし
今田酒造本店,富久長 秋櫻〈コスモス〉 純米吟醸 ひやおろし 1800ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,秋櫻〈コスモス〉 純米吟醸 ひやおろし
今田酒造本店,富久長 秋櫻〈コスモス〉 純米吟醸 ひやおろし 720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,秋櫻〈コスモス〉 純米吟醸 ひやおろし
今田酒造本店,富久長 純米にごり スパークリング 白美 HAKUBI 500ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米にごり スパークリング 白美 HAKUBI
今田酒造本店,富久長 純米吟醸 春 うすにごり 生酒 1800ml,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
今田酒造本店,富久長 純米吟醸 春 うすにごり 生酒 720ml,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
今田酒造本店,富久長 純米吟醸 美穂 Biho 1800ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米吟醸 美穂 Biho
今田酒造本店,富久長 純米吟醸 美穂 Biho 720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米吟醸 美穂 Biho
今田酒造本店,富久長 純米吟醸 美穂 Biho 生酒 1800ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米吟醸 美穂 Biho
今田酒造本店,富久長 純米吟醸 美穂 Biho 生酒 720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米吟醸 美穂 Biho
今田酒造本店,富久長 辛口純米 1800ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,辛口純米
今田酒造本店,富久長 辛口純米 720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,辛口純米
今田酒造本店,富久長 辛口純米 夏 1800ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,辛口純米
今田酒造本店,富久長 辛口純米 夏 720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,辛口純米
今田酒造本店,富久長 辛口純米 直汲み 生酒 1800ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,辛口純米
今田酒造本店,富久長 辛口純米 直汲み 生酒 720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,辛口純米
柄酒造,9代目於多福 protos. 720ml 火入れ,SKU統合,容量・包装・商品コード違いを商品単位へ統合,9代目於多福 protos. 火入れ
柄酒造,9代目於多福 つきあかり 720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,9代目於多福 つきあかり
柄酒造,9代目於多福 純米吟醸 すずかぜ 720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,9代目於多福 純米吟醸 すずかぜ
柄酒造,【火入れ】9代目於多福 特別純米 720ml・1800ml 720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,9代目於多福 特別純米 火入れ
柄酒造,【火入れ】9代目於多福 純米 720ml・1800ml 720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,於多福 純米
柄酒造,【火入れ】9代目於多福 純米吟醸 720ml・1800ml 720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,於多福 純米
柄酒造,【火入れ】9代目於多福 純米大吟醸 720ml・1800ml 720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,於多福 純米
柄酒造,於多福 一番取り 720ml（桐箱入り）,SKU統合,容量・包装・商品コード違いを商品単位へ統合,於多福 一番取り
柄酒造,於多福 大吟醸 1800ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,於多福 大吟醸
柄酒造,於多福 大吟醸 720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,於多福 大吟醸
柄酒造,於多福 本醸造 720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,於多福 本醸造
柄酒造,於多福 純米 1800ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,於多福 純米
柄酒造,於多福 純米 720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,於多福 純米
柄酒造,於多福 純米吟醸 1800ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,於多福 純米吟醸
柄酒造,於多福 純米吟醸 720ml,SKU統合,容量・包装・商品コード違いを商品単位へ統合,於多福 純米吟醸
金光酒造,桜吹雪 特別純米うすにごり生 1800ml,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
金光酒造,桜吹雪 特別純米うすにごり生 720ml,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
金光酒造,賀茂金秀 SUITOH 1800ml,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
金光酒造,賀茂金秀 SUITOH 720ml,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
