酒蔵,ブランド,シリーズ,ブランド優先度,ブランド位置づけ,商品名,分類,甘辛目安,甘辛判定根拠,日本酒度,精米歩合,アルコール度数,おすすめの飲み方,飲み方情報,飲み方出典URL,使用米,容量,参考価格,流通区分,備考,出典URL,出典数,酒蔵の歴史,銘柄の歴史,おすすめの飲み方（文章）
今田酒造本店,FUKUCHO LEGACY,,C,,FUKUCHO LEGACY I,その他,不明,公開情報で判定材料不足,,,,冷酒 / 常温,出典記載,https://fukucho.jp/products/legacy1,兵庫県特A地区山田錦,500ml,"33,000円",一般流通,公式オンラインショップで在庫あり,https://fukucho.jp/products/legacy1,1,1868（明治元）年創業。1910年に「富久長」を商標登録し、1950年に株式会社化。1997年に香港・米国への輸出を始め、2000年に今田美穂が杜氏、2017年に代表取締役へ就任し、八反草など地域性の高い酒造りを発展させている。,【ブランド史】先代杜氏が残した1989年醸造の大吟醸雫酒を長期冷蔵熟成し、現代の富久長の仕込みへつなぐシリーズ。LEGACY I・IIは、その熟成酒を仕込み水の代わりに使う貴醸酒として、過去の技術と現在の造りを結びつけている。 【商品史】1989年から冷蔵熟成してきたコンテスト用大吟醸雫酒を、三段仕込みの留添えで仕込み水の代わりに使う貴醸酒。先代杜氏の広島吟醸造りを現代の富久長へつなぐために生まれたLEGACYシリーズの第一系統である。,冷酒または常温で、長期熟成由来の複雑さと貴醸酒の甘やかさをゆっくり味わうのがおすすめ。冷やし過ぎず、小ぶりのワイングラスなどで少量ずつ温度変化を追うと余韻を感じやすい。
今田酒造本店,FUKUCHO LEGACY,,C,,FUKUCHO LEGACY II,その他,不明,公開情報で判定材料不足,,,,冷酒 / 常温,出典記載,https://fukucho.jp/products/legacy2,兵庫県特A地区山田錦,500ml,"33,000円",一般流通,公式オンラインショップで在庫あり,https://fukucho.jp/products/legacy2,1,1868（明治元）年創業。1910年に「富久長」を商標登録し、1950年に株式会社化。1997年に香港・米国への輸出を始め、2000年に今田美穂が杜氏、2017年に代表取締役へ就任し、八反草など地域性の高い酒造りを発展させている。,【ブランド史】先代杜氏が残した1989年醸造の大吟醸雫酒を長期冷蔵熟成し、現代の富久長の仕込みへつなぐシリーズ。LEGACY I・IIは、その熟成酒を仕込み水の代わりに使う貴醸酒として、過去の技術と現在の造りを結びつけている。 【商品史】1989年醸造の長期熟成大吟醸雫酒を仕込みに用いるLEGACYの考え方を継ぎ、黄麹と白麹を併用して甘味と酸味を組み合わせた第二系統。過去の酒を原料として現代の醸造へ接続するシリーズである。,冷酒または常温で、熟成酒の複雑味と白麹由来の酸味のバランスを楽しむのがおすすめ。食事と合わせる場合は冷酒から始め、少し温度が上がった状態で甘味と酸のまとまりを比べるとよい。
今田酒造本店,富久長,,B,公式おすすめ・サタケ精米シリーズ,八反草 サタケシリーズ GENKEI,その他,不明,公開情報で判定材料不足,,,,冷酒,出典記載,https://fukucho.jp/products/hattansogenkei,広島県安芸高田市産八反草（契約栽培）,720ml,"2,200円",一般流通,公式オンラインショップで在庫あり,https://fukucho.jp/products/hattansogenkei,1,1868（明治元）年創業。1910年に「富久長」を商標登録し、1950年に株式会社化。1997年に香港・米国への輸出を始め、2000年に今田美穂が杜氏、2017年に代表取締役へ就任し、八反草など地域性の高い酒造りを発展させている。,【ブランド史】今田酒造本店の主銘柄で、1910年に商標登録。戦後の法人化、1997年の海外輸出開始を経て、現在は広島在来の酒米「八反草」や瀬戸内の食文化を軸に、CLASSICS・INNOVATION・SEASONALなど複数のラインを展開している。 【商品史】広島の軟水醸造法と東広島のサタケの精米技術を結び直す企画から生まれた商品。玄米に近い形で磨く原形精米（真吟）を採用し、120年以上前の広島吟醸の技術史を現代の精米技術で再解釈している。,10〜15℃程度に冷やして、香味のまとまりを引き出すのがおすすめ。冷やし過ぎると香りや旨味が閉じやすいため、少しずつ温度が上がる変化も楽しむとよい。
今田酒造本店,富久長,,B,公式おすすめ・サタケ精米シリーズ,八反草 サタケシリーズ HENPEI,その他,不明,公開情報で判定材料不足,,,,冷酒,出典記載,https://fukucho.jp/products/hattansohenpei,広島県安芸高田市産八反草（契約栽培）,720ml,"2,200円",一般流通,公式オンラインショップで在庫あり,https://fukucho.jp/products/hattansohenpei,1,1868（明治元）年創業。1910年に「富久長」を商標登録し、1950年に株式会社化。1997年に香港・米国への輸出を始め、2000年に今田美穂が杜氏、2017年に代表取締役へ就任し、八反草など地域性の高い酒造りを発展させている。,【ブランド史】今田酒造本店の主銘柄で、1910年に商標登録。戦後の法人化、1997年の海外輸出開始を経て、現在は広島在来の酒米「八反草」や瀬戸内の食文化を軸に、CLASSICS・INNOVATION・SEASONALなど複数のラインを展開している。 【商品史】広島の軟水醸造法とサタケの精米技術を組み合わせるシリーズで、薄く磨く扁平精米（真吟）を採用。GENKEIと対になる商品として、精米形状の違いを酒質へ反映する現代的な実験ラインである。,10〜15℃程度に冷やして、香味のまとまりを引き出すのがおすすめ。冷やし過ぎると香りや旨味が閉じやすいため、少しずつ温度が上がる変化も楽しむとよい。
今田酒造本店,富久長,,C,,八反草 純米 ハイブリッド生酛 特別栽培米R3,純米,不明,公開情報で判定材料不足,,,,冷酒 / 常温 / 燗酒,出典記載,https://fukucho.jp/products/hybridkimoto-r3-2021by,八反草（契約栽培）,720ml,"2,420円",一般流通,公式オンラインショップで在庫あり,https://fukucho.jp/products/hybridkimoto-r3-2021by,1,1868（明治元）年創業。1910年に「富久長」を商標登録し、1950年に株式会社化。1997年に香港・米国への輸出を始め、2000年に今田美穂が杜氏、2017年に代表取締役へ就任し、八反草など地域性の高い酒造りを発展させている。,【ブランド史】今田酒造本店の主銘柄で、1910年に商標登録。戦後の法人化、1997年の海外輸出開始を経て、現在は広島在来の酒米「八反草」や瀬戸内の食文化を軸に、CLASSICS・INNOVATION・SEASONALなど複数のラインを展開している。 【商品史】2022BYから生酛由来の選抜乳酸菌を使う設計へ発展した。生酛という仕立てで通常品と区別される。原形精米（真吟）を商品設計に取り入れている。,冷酒では輪郭をすっきりと、40℃前後のぬる燗から燗酒では米の旨味と酸のふくらみを引き出す飲み方がおすすめ。食事に合わせるなら冷酒と燗の両方を試し、好みの温度帯を探すとよい。
今田酒造本店,富久長,,C,,八反草 純米 ハイブリッド生酛 特別栽培米R4,純米,不明,公開情報で判定材料不足,,,,冷酒 / 常温 / 燗酒,出典記載,https://fukucho.jp/products/hybridkimoto-r4-2022by,八反草（契約栽培）,720ml,"2,420円",一般流通,公式オンラインショップで在庫あり,https://fukucho.jp/products/hybridkimoto-r4-2022by,1,1868（明治元）年創業。1910年に「富久長」を商標登録し、1950年に株式会社化。1997年に香港・米国への輸出を始め、2000年に今田美穂が杜氏、2017年に代表取締役へ就任し、八反草など地域性の高い酒造りを発展させている。,【ブランド史】今田酒造本店の主銘柄で、1910年に商標登録。戦後の法人化、1997年の海外輸出開始を経て、現在は広島在来の酒米「八反草」や瀬戸内の食文化を軸に、CLASSICS・INNOVATION・SEASONALなど複数のラインを展開している。 【商品史】2022BYから生酛由来の選抜乳酸菌を使う設計へ発展した。生酛という仕立てで通常品と区別される。原形精米（真吟）を商品設計に取り入れている。,冷酒では輪郭をすっきりと、40℃前後のぬる燗から燗酒では米の旨味と酸のふくらみを引き出す飲み方がおすすめ。食事に合わせるなら冷酒と燗の両方を試し、好みの温度帯を探すとよい。
今田酒造本店,富久長,,C,,八反草 純米 軟水仕込 辛口,純米,辛口,商品名に辛口表記,,60% / 65%,14度,冷酒 / 常温,出典記載,https://fukucho.jp/products/hattansojunmai,八反草（契約栽培）,"720ml / 1,800ml","1,980～3,520円",一般流通,公式オンラインショップで在庫あり,https://fukucho.jp/products/hattansojunmai,1,1868（明治元）年創業。1910年に「富久長」を商標登録し、1950年に株式会社化。1997年に香港・米国への輸出を始め、2000年に今田美穂が杜氏、2017年に代表取締役へ就任し、八反草など地域性の高い酒造りを発展させている。,【ブランド史】今田酒造本店の主銘柄で、1910年に商標登録。戦後の法人化、1997年の海外輸出開始を経て、現在は広島在来の酒米「八反草」や瀬戸内の食文化を軸に、CLASSICS・INNOVATION・SEASONALなど複数のラインを展開している。 【商品史】低精米では溶けにくい八反草に、蒸米工程の工夫・真吟精米・広島令和一号酵母を組み合わせて開発された新しい辛口純米。2025年4月10日に新商品として発売され、2026年IWC Junmai部門でシルバーを受賞した。,10〜15℃程度に冷やして、米の旨味と酸のふくらみを引き出すのがおすすめ。冷やし過ぎると香りや旨味が閉じやすいため、少しずつ温度が上がる変化も楽しむとよい。
今田酒造本店,富久長,,A,公式が海風土シリーズを中心ラインとして訴求,海風土 Seafood 純米,純米,不明,公開情報で判定材料不足,,60% / 70%,13度,冷酒 / 冷やして,出典記載,https://fukucho.jp/products/seafood,国産米,"720ml / 1,800ml","1,980～3,850円",一般流通,公式オンラインショップで在庫あり,https://fukucho.jp/products/seafood,1,1868（明治元）年創業。1910年に「富久長」を商標登録し、1950年に株式会社化。1997年に香港・米国への輸出を始め、2000年に今田美穂が杜氏、2017年に代表取締役へ就任し、八反草など地域性の高い酒造りを発展させている。,【ブランド史】今田酒造本店の主銘柄で、1910年に商標登録。戦後の法人化、1997年の海外輸出開始を経て、現在は広島在来の酒米「八反草」や瀬戸内の食文化を軸に、CLASSICS・INNOVATION・SEASONALなど複数のラインを展開している。 【商品史】2026年 IWC2026 Junmai部門 大会推奨メダル、2026年 フランス KURA MASTER 純米酒部門 プラチナの実績が商品ページに記録されている。2026-09-06時点で公式商品ページに現行品として掲載され、純米、使用米 国産米、精米歩合 60% / 70%の設計で展開されている。,10〜15℃程度に冷やして、米の旨味と酸のふくらみを引き出すのがおすすめ。冷やし過ぎると香りや旨味が閉じやすいため、少しずつ温度が上がる変化も楽しむとよい。
今田酒造本店,富久長,,C,,秋櫻〈コスモス〉 純米 ひやおろし,純米,不明,公開情報で判定材料不足,,,,冷酒 / 常温,出典記載,https://fukucho.jp/products/cosmos,広島県東広島市産山田錦 / 兵庫県特A地区山田錦 / 広島県産米,"720ml / 1,800ml","1,870～3,850円",季節商品,公式オンラインショップで在庫あり / 二次DBでも存在確認,https://fukucho.jp/products/cosmos,2,1868（明治元）年創業。1910年に「富久長」を商標登録し、1950年に株式会社化。1997年に香港・米国への輸出を始め、2000年に今田美穂が杜氏、2017年に代表取締役へ就任し、八反草など地域性の高い酒造りを発展させている。,【ブランド史】今田酒造本店の主銘柄で、1910年に商標登録。戦後の法人化、1997年の海外輸出開始を経て、現在は広島在来の酒米「八反草」や瀬戸内の食文化を軸に、CLASSICS・INNOVATION・SEASONALなど複数のラインを展開している。 【商品史】季節商品として展開される。ひやおろしという仕立てで通常品と区別される。2026-09-06時点で公式商品ページに現行品として掲載され、純米、使用米 広島県東広島市産山田錦 / 兵庫県特A地区山田錦 / 広島県産米の設計で展開されている。,10〜15℃程度に冷やして、熟成でまとまった旨味を引き出すのがおすすめ。冷やし過ぎると香りや旨味が閉じやすいため、少しずつ温度が上がる変化も楽しむとよい。
今田酒造本店,富久長,,B,現行スパークリング主要商品,純米にごり スパークリング 白美 HAKUBI,純米,不明,公開情報で判定材料不足,,,,冷酒 / 常温,出典記載,https://fukucho.jp/products/hakubi,広島県東広島市産山田錦 / 兵庫県特A地区山田錦 / 広島県産米,500ml,"1,870円",一般流通,公式オンラインショップで在庫あり,https://fukucho.jp/products/hakubi,1,1868（明治元）年創業。1910年に「富久長」を商標登録し、1950年に株式会社化。1997年に香港・米国への輸出を始め、2000年に今田美穂が杜氏、2017年に代表取締役へ就任し、八反草など地域性の高い酒造りを発展させている。,【ブランド史】今田酒造本店の主銘柄で、1910年に商標登録。戦後の法人化、1997年の海外輸出開始を経て、現在は広島在来の酒米「八反草」や瀬戸内の食文化を軸に、CLASSICS・INNOVATION・SEASONALなど複数のラインを展開している。 【商品史】1980年代に先代が開発して以来、30年以上にわたり改良を続けてきた富久長のロングセラー。瓶内発酵の泡とにごりを両立させ、現在は耐圧瓶・瓶火入れで安定流通させる設計へ発展している。,まずは5〜10℃程度までしっかり冷やし、発泡感やにごりの口当たりを活かすのがおすすめ。温度が上がり過ぎないうちに飲み、原酒で強く感じる場合に「ロック」の記載がある商品は大きめの氷を一つ加えると飲みやすい。
