酒蔵,元データ,処理,理由,統合先
亀齢酒造,大吟醸 創,統合,表記・包装違いを商品単位に統合,亀齢 大吟醸 創
亀齢酒造,吉田屋の酒,除外,一般流通商品ではない／資料用途に不向き（吉田屋の酒）,
白牡丹酒造,大吟醸 いちの雫（しずく酒）,統合,表記・包装違いを商品単位に統合,大吟醸 いちの雫（しずく酒）
福美人酒造,蔵内限定 甘い口どけ豊醇原酒,除外,一般流通商品ではない／資料用途に不向き（蔵内限定）,
福美人酒造,角樽（つのだる）,除外,一般流通商品ではない／資料用途に不向き（角樽）,
西條鶴醸造,2025年西條鶴特別純米酒『 アートラベル -渦炎- 』,除外,過年度・年次限定商品として一般流通本表から除外,
西條鶴醸造,令和7年「新酒･しぼりたて」純米生原酒,除外,過年度・年次限定商品として一般流通本表から除外,
西條鶴醸造,酒蔵限定酒・杜氏入魂無濾過純米生酒,除外,一般流通商品ではない／資料用途に不向き（酒蔵限定）,
西條鶴醸造,酒蔵限定酒・無濾過純米吟醸生酒,除外,一般流通商品ではない／資料用途に不向き（酒蔵限定）,
西條鶴醸造,酒蔵限定酒・無濾過純米生酒,除外,一般流通商品ではない／資料用途に不向き（酒蔵限定）,
西條鶴醸造,酒蔵限定酒・純米吟醸「備前雄町」,除外,一般流通商品ではない／資料用途に不向き（酒蔵限定）,
西條鶴醸造,酒蔵限定酒・純米大吟醸原酒,除外,一般流通商品ではない／資料用途に不向き（酒蔵限定）,
賀茂泉酒造,COKUN（こくん）,統合,表記・包装違いを商品単位に統合,COKUN
賀茂泉酒造,COKUN+(こくんぷらす）,除外,清酒以外の可能性があるため本表対象外,
賀茂泉酒造,COKUN＋(プラス),除外,清酒以外の可能性があるため本表対象外,
賀茂泉酒造,朱泉普通酒紙パック,統合,表記・包装違いを商品単位に統合,朱泉普通酒
賀茂泉酒造,朱泉菰樽,除外,一般流通商品ではない／資料用途に不向き（菰樽）,
賀茂泉酒造,純米吟醸生原酒 RockHopper,統合,表記・包装違いを商品単位に統合,純米吟醸生原酒 ROCK HOPPER
賀茂泉酒造,緑泉普通酒紙パック,統合,表記・包装違いを商品単位に統合,緑泉普通酒
賀茂泉酒造,蔵元限定 山田錦 純米吟醸生酒,除外,一般流通商品ではない／資料用途に不向き（蔵元限定）,
賀茂泉酒造,造賀,統合,表記・包装違いを商品単位に統合,造賀純米酒
賀茂鶴酒造,本醸造 上等酒 カップ,統合,表記・包装違いを商品単位に統合,本醸造 上等酒
賀茂鶴酒造,純米酒 カップ,統合,表記・包装違いを商品単位に統合,純米酒
亀齢酒造,【お試し価格・20％OFF】亀齢萬年 山田錦 生酒 1.8L【製造年月2026年2月】,SKU統合,容量・包装・商品コード違いを商品単位へ統合,亀齢萬年 山田錦 生酒
