エリア,酒蔵,ブランド,シリーズ,中核銘柄,優先度,位置づけ,ブランド収録判定,個別SKU確認,分類,甘辛目安,日本酒度,おすすめの飲み方,主要容量,流通区分,確認日,根拠URL,商品出典URL
西条エリア7蔵,賀茂鶴酒造,賀茂鶴,,大吟醸 特製ゴールド賀茂鶴,A,公式直近1年販売本数ベース晩酌1位・賀茂鶴を代表する銘柄,収録済,SKU確認済,大吟醸,不明,,冷酒 / 燗酒,"180ml / 300ml / 720ml / 1,800ml",一般流通,2026-09-06,https://shop.kamotsuru.jp/SHOP/346441/346696/list.html,https://shop.kamotsuru.jp/SHOP/GK-A2.html
西条エリア7蔵,賀茂鶴酒造,賀茂鶴,,純米吟醸 一滴入魂,A,公式晩酌おすすめ2位・アジア圏で人気,収録済,SKU確認済,純米吟醸,不明,,要確認,"300ml / 720ml / 1,800ml",一般流通,2026-09-06,https://shop.kamotsuru.jp/SHOP/346441/346696/list.html,https://shop.kamotsuru.jp/SHOP/itteki720.html
西条エリア7蔵,賀茂鶴酒造,酒中在心,,酒中在心 橙 純米吟醸 生もと 八反35号,A,公式晩酌おすすめ3位・販路限定の主要シリーズ,収録済,SKU確認済,純米吟醸,不明,,冷酒 / 常温 / ぬる燗 / 燗酒,"720ml / 1,800ml",限定流通,2026-09-06,https://shop.kamotsuru.jp/SHOP/346441/346696/list.html,https://shop.kamotsuru.jp/SHOP/shutyuzaishin-daidai_1800.html
西条エリア7蔵,賀茂鶴酒造,賀茂鶴,,本醸造 からくち,A,公式晩酌おすすめ4位・料飲店人気の食中酒,収録済,SKU確認済,本醸造,不明,,冷酒 / 燗酒,"180ml / 300ml / 720ml / 1,800ml",一般流通,2026-09-06,https://shop.kamotsuru.jp/SHOP/346441/346696/list.html,https://shop.kamotsuru.jp/SHOP/honkara1800.html
西条エリア7蔵,賀茂鶴酒造,賀茂鶴,,特別本醸造 超特撰特等酒,A,公式晩酌おすすめ5位・長年の定番,収録済,SKU確認済,特別本醸造,不明,,冷酒 / ぬる燗 / 燗酒,"300ml / 720ml / 1,800ml",一般流通,2026-09-06,https://shop.kamotsuru.jp/SHOP/346441/346696/list.html,https://shop.kamotsuru.jp/SHOP/tokutou1800.html
西条エリア7蔵,賀茂鶴酒造,賀茂鶴,,大吟醸 賀茂鶴 双鶴,B,代表高級酒・公式ブランドカテゴリ,収録済,SKU確認済,大吟醸,不明,,冷酒 / 燗酒,"180ml / 720ml / 1,800ml",一般流通,2026-09-06,https://shop.kamotsuru.jp/SHOP/346441/346696/list.html,https://shop.kamotsuru.jp/SHOP/SK-A1.html
西条エリア7蔵,賀茂鶴酒造,賀茂鶴,,純米大吟醸 大吟峰,B,公式ブランドカテゴリの主要純米大吟醸,収録済,SKU確認済,純米大吟醸,不明,,冷酒 / 燗酒,"720ml / 1,800ml",一般流通,2026-09-06,https://shop.kamotsuru.jp/SHOP/346441/346696/list.html,https://shop.kamotsuru.jp/SHOP/originalbottle_DK-B1.html
西条エリア7蔵,白牡丹酒造,白牡丹,,大吟醸,A,公式現行定番・300/720/1800ml展開,収録済,SKU確認済,大吟醸,やや辛口,+3,常温 / 冷酒,"300ml / 720ml / 1,800ml",一般流通,2026-09-06,https://www.hakubotan.co.jp/products/,https://www.hakubotan.co.jp/products/
西条エリア7蔵,白牡丹酒造,白牡丹,,純米吟醸,A,公式現行定番・ワイングラスアワード受賞,収録済,SKU確認済,純米吟醸,中口,+0.5,常温,"720ml / 1,800ml",一般流通,2026-09-06,https://www.hakubotan.co.jp/products/,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e7%b4%94%e7%b1%b3%e5%90%9f%e9%86%b8-1-8l%e7%93%b6%e8%a9%b0/
西条エリア7蔵,白牡丹酒造,白牡丹,,純米酒,A,公式定番・燗酒コンテスト受賞,収録済,SKU確認済,純米,中口,+0.5,常温 / ぬる燗 / 熱燗 / 燗酒,"300ml / 720ml / 1,800ml",一般流通,2026-09-06,https://www.hakubotan.co.jp/products/,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e7%b4%94%e7%b1%b3%e9%85%92-1-8l%e7%93%b6%e8%a9%b0/
西条エリア7蔵,白牡丹酒造,白牡丹,万年蔵,純米大吟醸 原酒 万年蔵 杜氏 鹿島正,A,公式高級ライン・広島らしさを前面に出す商品,収録済,SKU確認済,純米大吟醸,甘口,-8,常温 / ぬる燗 / 燗酒,"720ml / 1,800ml",一般流通,2026-09-06,https://www.hakubotan.co.jp/products/,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e7%b4%94%e7%b1%b3%e5%a4%a7%e5%90%9f%e9%86%b8-%e5%8e%9f%e9%85%92-%e4%b8%87%e5%b9%b4%e8%94%b5-%e6%9d%9c%e6%b0%8f-%e9%b9%bf/
