酒蔵,ブランド,シリーズ,中核銘柄,優先度,位置づけ,根拠URL
賀茂鶴酒造,賀茂鶴,,大吟醸 特製ゴールド賀茂鶴,A,公式直近1年販売本数ベース晩酌1位・賀茂鶴を代表する銘柄,https://shop.kamotsuru.jp/SHOP/346441/346696/list.html
賀茂鶴酒造,賀茂鶴,,純米吟醸 一滴入魂,A,公式晩酌おすすめ2位・アジア圏で人気,https://shop.kamotsuru.jp/SHOP/346441/346696/list.html
賀茂鶴酒造,酒中在心,,酒中在心 橙 純米吟醸 生もと 八反35号,A,公式晩酌おすすめ3位・販路限定の主要シリーズ,https://shop.kamotsuru.jp/SHOP/346441/346696/list.html
賀茂鶴酒造,賀茂鶴,,本醸造 からくち,A,公式晩酌おすすめ4位・料飲店人気の食中酒,https://shop.kamotsuru.jp/SHOP/346441/346696/list.html
賀茂鶴酒造,賀茂鶴,,特別本醸造 超特撰特等酒,A,公式晩酌おすすめ5位・長年の定番,https://shop.kamotsuru.jp/SHOP/346441/346696/list.html
賀茂鶴酒造,賀茂鶴,,大吟醸 賀茂鶴 双鶴,B,代表高級酒・公式ブランドカテゴリ,https://shop.kamotsuru.jp/SHOP/346441/346696/list.html
賀茂鶴酒造,賀茂鶴,,純米大吟醸 大吟峰,B,公式ブランドカテゴリの主要純米大吟醸,https://shop.kamotsuru.jp/SHOP/346441/346696/list.html
白牡丹酒造,白牡丹,,大吟醸,A,公式現行定番・300/720/1800ml展開,https://www.hakubotan.co.jp/products/
白牡丹酒造,白牡丹,,純米吟醸,A,公式現行定番・ワイングラスアワード受賞,https://www.hakubotan.co.jp/products/
白牡丹酒造,白牡丹,,純米酒,A,公式定番・燗酒コンテスト受賞,https://www.hakubotan.co.jp/products/
白牡丹酒造,白牡丹,万年蔵,純米大吟醸 原酒 万年蔵 杜氏 鹿島正,A,公式高級ライン・広島らしさを前面に出す商品,https://www.hakubotan.co.jp/products/
白牡丹酒造,白牡丹,Paeon,Paeon(ピオン),A,ワイングラスでおいしい日本酒アワード2026最高金賞,https://www.hakubotan.co.jp/%E3%83%AF%E3%82%A4%E3%83%B3%E3%82%B0%E3%83%A9%E3%82%B9%E3%81%A7%E3%81%8A%E3%81%84%E3%81%97%E3%81%84%E6%97%A5%E6%9C%AC%E9%85%92%E3%82%A2%E3%83%AF%E3%83%BC%E3%83%892026/
白牡丹酒造,白牡丹,,純米大吟醸 悠星(ゆうせい),B,2026ワイングラスアワード金賞・現行おすすめ,https://www.hakubotan.co.jp/products/
白牡丹酒造,白牡丹,,広島八反 純米吟醸,B,広島酒米を前面に出す現行主要商品,https://www.hakubotan.co.jp/products/
西條鶴醸造,西條鶴,,純米大吟醸原酒「神髄」,A,公式おすすめ・純米大吟醸の中心商品,https://saijotsuru.co.jp/?gid=2464785&mode=grp
西條鶴醸造,西條鶴,,辛口純米酒『きんさいや』,A,公式おすすめ商品,https://saijotsuru.co.jp/?gid=2464785&mode=grp
西條鶴醸造,西條鶴,,純米酒「大地の風」,A,公式おすすめ・定番純米,https://saijotsuru.co.jp/?gid=2464785&mode=grp&sort=n
西條鶴醸造,西條鶴,,純米吟醸「大地の冠」,A,公式おすすめ・定番純米吟醸,https://saijotsuru.co.jp/?gid=2464785&mode=grp&sort=n
西條鶴醸造,西條鶴,,吟醸酒「ゴールド西條鶴」,A,公式贈答・おすすめ定番,https://saijotsuru.co.jp/?gid=2539031&mode=grp&sort=p
西條鶴醸造,西條鶴,,純米大吟醸「西鶴」,B,公式純米大吟醸カテゴリの現行商品,https://saijotsuru.co.jp/?cbid=2659464&csid=0&mode=cate
亀齢酒造,亀齢,,亀齢 辛口純米 八拾,A,現行流通で代表銘柄として広く扱われる辛口純米,https://www.yamatoya-e.com/SHOP/kire005c.html
亀齢酒造,亀齢,,亀齢 大吟醸 創,A,現行流通の代表高級酒,https://kireikireikirei.jimdofree.com/
亀齢酒造,亀齢萬年,,亀齢萬年 純米大吟醸原酒五拾 生酒,A,亀齢萬年を代表する2026年現行の純米大吟醸ライン,https://www.hiroshimasake.com/product-list/6
亀齢酒造,亀齢,,亀齢 純米吟醸 六拾,A,2026年東広島10蔵定期便採用の現行純米吟醸,https://e-sake.jp/article/article-1369/
亀齢酒造,亀齢,,亀齢 上撰,A,地元で継続流通する定番酒,https://osake-style.com/SHOP/11012948.html
亀齢酒造,亀齢,,亀齢 無濾過 五段仕込純米酒 八九(はちく) 生酒,B,2026年現行流通の個性派純米,https://www.sakeweb.jp/product-list/50
亀齢酒造,亀齢,migaki,亀齢 純米吟醸 原形精米 migaki 無濾過生酒,B,2026年現行流通の原形精米シリーズ,https://www.sakeweb.jp/product-list/50
福美人酒造,福美人,,大吟醸 蔵乃華 （ くらのはな ）,A,公式が代表的商品として掲載する上位酒,https://www.fukubijin.co.jp/product.html
福美人酒造,福美人,,大吟醸 西條酒造学校,A,蔵の歴史を体現する代表商品,https://www.fukubijin.co.jp/product.html
福美人酒造,福美人,,純米吟醸,A,公式が代表的商品として掲載する定番,https://www.fukubijin.co.jp/product.html
福美人酒造,福美人,,純米酒,A,現行定番純米,https://www.fukubijin.co.jp/SHOP/g23587/list.html
福美人酒造,福美人,,上撰,A,公式が代表的商品として掲載する定番酒,https://www.fukubijin.co.jp/product.html
福美人酒造,福美人,,本醸造 舞,B,現行本醸造ライン,https://www.fukubijin.co.jp/
賀茂泉酒造,賀茂泉,,純米吟醸「朱泉本仕込」,A,公式が「賀茂泉を代表するお酒」と明記,https://www.kamoizumi.co.jp/sake/index.php
賀茂泉酒造,賀茂泉,,純米大吟醸「壽」,A,公式が醸造技術の極み・究極のお酒と説明,https://www.kamoizumi.co.jp/sake/index.php
賀茂泉酒造,賀茂泉,,純米吟醸「山吹色の酒」,A,公式主要熟成酒,https://www.kamoizumi.co.jp/sake/index.php
賀茂泉酒造,賀茂泉,,純米酒 一 (はじめ),A,公式が入門酒・ウチ飲み定番と明記,https://www.kamoizumi.co.jp/sake/index.php
賀茂泉酒造,賀茂泉,,造賀純米酒,A,東広島造賀地区山田錦を使う地域性の高い定番,https://kamoizumi.co.jp/sake/index.php
賀茂泉酒造,賀茂泉,,純米大吟醸「皇寿」,B,公式主要高級酒,https://www.kamoizumi.co.jp/sake/index.php
賀茂泉酒造,賀茂泉,,純米大吟醸「延寿」,B,公式主要純米大吟醸,https://www.kamoizumi.co.jp/sake/index.php
賀茂泉酒造,ROCK HOPPER,,純米吟醸生原酒 ROCK HOPPER,B,公式現行生原酒シリーズ,https://www.kamoizumi.co.jp/sake/index.php
山陽鶴酒造,山陽鶴,,純米大吟醸 KUBO,A,現行通年返礼品・代表高級酒,https://www.furusato.aeon.co.jp/gift-in-return/aaa72316281ae6d75280fb28cb3cae46/
山陽鶴酒造,山陽鶴,,大吟醸 ほんと,A,現行地域製品DBで販売場所掲載の代表大吟醸,https://www.buyhiro.com/database/products/products_0549/
山陽鶴酒造,山陽鶴,,純米吟醸,A,公式五酒セットで「代表的なお酒」と明記,https://sanyotsuru.jp/archives/product/gosyu
山陽鶴酒造,山陽鶴,,本醸造,A,公式五酒セットで「代表的なお酒」と明記,https://sanyotsuru.jp/archives/product/gosyu
山陽鶴酒造,山陽鶴,,上撰,A,公式五酒セットで「代表的なお酒」と明記,https://sanyotsuru.jp/archives/product/gosyu
金光酒造,賀茂金秀,,賀茂金秀 純米大吟醸35,A,公式通年最高級ライン,https://www.kamokin.com/line_up/regular.html
金光酒造,賀茂金秀,,賀茂金秀 純米大吟醸40,A,公式通年純米大吟醸,https://www.kamokin.com/line_up/regular.html
金光酒造,賀茂金秀,,賀茂金秀 純米吟醸 雄町,A,公式通年・食との相性を訴求する代表銘柄,https://www.kamokin.com/line_up/regular.html
金光酒造,賀茂金秀,,賀茂金秀 特別純米,A,公式通年・「入魂の逸品」,https://www.kamokin.com/line_up/regular.html
金光酒造,賀茂金秀,,賀茂金秀 特別純米 辛口,A,公式通年辛口ライン,https://www.kamokin.com/line_up/regular.html
金光酒造,賀茂金秀,,賀茂金秀 特別純米13,B,公式通年低アルコール系,https://www.kamokin.com/line_up/regular.html
金光酒造,桜吹雪,,桜吹雪 特別純米うすにごり生,B,別ブランドの季節商品,https://www.kamokin.com/line_up/Limited/limited.html
今田酒造本店,富久長,八反草,富久長 八反草 純米吟醸,A,公式が唯一醸す八反草の中心ライン,https://fukucho.jp/
今田酒造本店,富久長,海風土,富久長 海風土 Seafood 純米,A,公式が海風土シリーズを中心ラインとして訴求,https://fukucho.jp/
