酒蔵,商品名,容量ml,JAN,商品コード,価格円税込,販売状態,在庫状態,販売チャネル,業務卸可否,輸出可否,要冷蔵,確認日,主出典ID,出典種別,URL,出典数,代替URL,備考
亀齢酒造,【お試し価格・20％OFF】亀齢萬年 山田錦 生酒 1.8L【製造年月2026年2月】,1800,,,2640,販売中,不明,通常/不明,未確認,未確認,要冷蔵,2026-09-05,CSKU_F353D054B4B4,retailer_current,https://www.hiroshimasake.com/product/15,1,,現行酒販店ECで流通確認。蔵元の業務卸可否は未確認
亀齢酒造,【お試し価格・20％OFF】亀齢萬年 山田錦 生酒 720ml【製造年月2026年2月】,720,,,1408,販売中,不明,通常/不明,未確認,未確認,要冷蔵,2026-09-05,CSKU_599757CE396B,retailer_current,https://www.hiroshimasake.com/product/563,1,,現行酒販店ECで流通確認。蔵元の業務卸可否は未確認
亀齢酒造,【お試し価格・20％OFF】亀齢萬年 山田錦おりがらみ 生酒 1.8L【製造年月2026年1月】,1800,,,2640,販売中,不明,通常/不明,未確認,未確認,要冷蔵,2026-09-05,CSKU_CAD6CD4DAA46,retailer_current,https://www.hiroshimasake.com/product/564,1,,現行酒販店ECで流通確認。蔵元の業務卸可否は未確認
亀齢酒造,【お試し価格・20％OFF】亀齢萬年 山田錦おりがらみ 生酒 720ml【製造年月2026年1月】,720,,,1408,販売中,不明,通常/不明,未確認,未確認,要冷蔵,2026-09-05,CSKU_9042B9E520CD,retailer_current,https://www.hiroshimasake.com/product/565,1,,現行酒販店ECで流通確認。蔵元の業務卸可否は未確認
亀齢酒造,【期間限定お試し価格・20％OFF】亀齢 純米吟醸 原形精米 migaki 無濾過生酒 1.8L【製造年月2026年3月】,1800,,,2904,販売中,不明,通常/不明,未確認,未確認,要冷蔵,2026-09-05,CSKU_323367067E1B,retailer_current,https://www.hiroshimasake.com/product/550,1,,現行酒販店ECで流通確認。蔵元の業務卸可否は未確認
亀齢酒造,【期間限定お試し価格・20％OFF】亀齢 純米吟醸 原形精米 migaki 無濾過生酒 720ml【製造年月2026年3月】,720,,,1760,販売中,不明,通常/不明,未確認,未確認,要冷蔵,2026-09-05,CSKU_51BAEAE76CDF,retailer_current,https://www.hiroshimasake.com/product/549,1,,現行酒販店ECで流通確認。蔵元の業務卸可否は未確認
亀齢酒造,亀齢 大吟醸 創720ml,720,,,3300,販売中,不明,通常/不明,未確認,未確認,不明,2026-09-05,CSKU_387BFDB0E86F,retailer_current,https://www.hiroshimasake.com/product/17,1,,現行酒販店ECで流通確認。蔵元の業務卸可否は未確認
亀齢酒造,亀齢 無濾過 五段仕込純米酒 八九(はちく) 生酒 1.8L,1800,,,2860,販売中,不明,通常/不明,未確認,未確認,要冷蔵,2026-09-05,CSKU_075A8B7295D1,retailer_current,https://www.hiroshimasake.com/product/182,1,,現行酒販店ECで流通確認。蔵元の業務卸可否は未確認
亀齢酒造,亀齢 無濾過 五段仕込純米酒 八九(はちく) 生酒 720ml,720,,,1650,販売中,不明,通常/不明,未確認,未確認,要冷蔵,2026-09-05,CSKU_33AFF07D0CE9,retailer_current,https://www.hiroshimasake.com/product/415,1,,現行酒販店ECで流通確認。蔵元の業務卸可否は未確認
亀齢酒造,亀齢 純米吟醸 原形精米 migaki 萌えいぶき 生酒 1.8L【製造年月2026年5月】,1800,,,3520,販売中,不明,通常/不明,未確認,未確認,要冷蔵,2026-09-05,CSKU_5FDA6DB43B09,retailer_current,https://www.hiroshimasake.com/product/581,1,,現行酒販店ECで流通確認。蔵元の業務卸可否は未確認
