酒蔵,ブランド,商品名,出典URL,http_status,serving_terms,serving_snippet,scan_error
亀齢酒造,亀齢,吉田屋の酒,https://kireikireikirei.jimdofree.com/酒蔵土産売場-まねきや/,200.0,,,
亀齢酒造,亀齢,純米大吟醸 亀香,https://kireikireikirei.jimdofree.com/酒蔵土産売場-まねきや/,200.0,,,
今田酒造本店,FUKUCHO LEGACY,FUKUCHO LEGACY I,https://fukucho.jp/products/legacy1,200.0,おすすめ温度 / 冷酒 / 常温," 原料米 兵庫県特A地区山田錦 精米歩合 麹米 : 40% 掛米 : 40% アルコール分 16％ 酵母 広島県酵母 酒母 速醸 仕様 直汲み / 原酒 / 瓶火入れ / 瓶貯蔵 おすすめ温度 冷酒 / 常温 保存方法 冷蔵庫 販売時期 通年 # おすすめ # ヴィンテージ酒 # 山田錦 # 火入れ # 貴醸酒 # 長期熟成 {""id"":6987724456111,""title"":""FUKUCHO LEGACY I"",""handle"":""legacy1"",""descripti",
今田酒造本店,FUKUCHO LEGACY,FUKUCHO LEGACY II,https://fukucho.jp/products/legacy2,200.0,おすすめ温度 / 冷酒 / 常温," 原料米 兵庫県特A地区山田錦 精米歩合 麹米 : 40% 掛米 : 40% アルコール分 16％ 酵母 広島県酵母 酒母 速醸 仕様 直汲み / 原酒 / 瓶火入れ / 瓶貯蔵 おすすめ温度 冷酒 / 常温 保存方法 冷蔵庫 販売時期 通年 # おすすめ # ヴィンテージ酒 # 山田錦 # 火入れ # 白 麹 # 貴醸酒 # 長期熟成 {""id"":6987732123823,""title"":""FUKUCHO LEGACY II"",""handle"":""legacy2"",""de",
今田酒造本店,富久長,八反草 サタケシリーズ GENKEI,https://fukucho.jp/products/hattansogenkei,200.0,おすすめ温度 / 冷酒,"八反草（契約栽培） 精米歩合 麹米 : 50% 掛米 : 60% 原形精米 アルコール分 15％ 酵母 広島県酵母 酒母 速醸 仕様 直汲み / 原酒 / 一回火入れ / 瓶貯蔵 おすすめ温度 冷酒 保存方法 冷蔵庫 販売時期 通年 # おすすめ # 八反草 # 原形精米 # 火入れ # 純米吟醸酒 # 純米酒 {""id"":6987663442095,""title"":""富久長 八反草 サタケシリーズ GENKEI"",""handle"":""hattansogenkei"",""des",
今田酒造本店,富久長,八反草 サタケシリーズ HENPEI,https://fukucho.jp/products/hattansohenpei,200.0,おすすめ温度 / 冷酒,"八反草（契約栽培） 精米歩合 麹米 : 50% 掛米 : 60% 扁平精米 アルコール分 15％ 酵母 広島県酵母 酒母 速醸 仕様 直汲み / 原酒 / 一回火入れ / 瓶貯蔵 おすすめ温度 冷酒 保存方法 冷蔵庫 販売時期 通年 # おすすめ # 八反草 # 扁平精米 # 火入れ # 純米吟醸酒 # 純米酒 {""id"":6987637031087,""title"":""富久長 八反草 サタケシリーズ HENPEI"",""handle"":""hattansohenpei"",""des",
今田酒造本店,富久長,八反草 純米 ハイブリッド生酛 特別栽培米R3,https://fukucho.jp/products/hybridkimoto-r3-2021by,200.0,おすすめ温度 / 冷酒 / 常温 / 燗酒,"培八反草（契約栽培） 精米歩合 麹米 : 60% 掛米 : 70% 原形精米 アルコール分 14％ 酵母 広島県酵母 酒母 ハイブリッド生酛 仕様 原酒 / 瓶火入れ / 瓶貯蔵 おすすめ温度 冷酒 / 常温 / 燗酒 保存方法 冷暗所 販売時期 通年 # おすすめ # ハイブリッド生酛 # 低アルコール # 八反草 # 原形精米 # 火入れ # 純米酒 {""id"":7174208520367,""title"":""富久長 八反草 純米 ハイブリッド生酛 特別栽培米R3"",""ha",
今田酒造本店,富久長,八反草 純米 ハイブリッド生酛 特別栽培米R4,https://fukucho.jp/products/hybridkimoto-r4-2022by,200.0,おすすめ温度 / 冷酒 / 常温 / 燗酒,"培八反草（契約栽培） 精米歩合 麹米 : 60% 掛米 : 70% 原形精米 アルコール分 14％ 酵母 広島県酵母 酒母 ハイブリッド生酛 仕様 原酒 / 瓶火入れ / 瓶貯蔵 おすすめ温度 冷酒 / 常温 / 燗酒 保存方法 冷暗所 販売時期 通年 # おすすめ # ハイブリッド生酛 # 低アルコール # 八反草 # 原形精米 # 火入れ # 純米酒 {""id"":7480485445807,""title"":""富久長 八反草 純米 ハイブリッド生酛 特別栽培米R4"",""ha",
今田酒造本店,富久長,八反草 純米 軟水仕込 辛口,https://fukucho.jp/products/hattansojunmai,200.0,おすすめ温度 / 冷酒 / 常温,"広島県安芸高田市産八反草（契約栽培） 精米歩合 麹米 : 60% 掛米 : 65% 一部に真吟精米 アルコール分 14％ 酵母 広島県酵母 酒母 速醸 仕様 瓶火入れ / 瓶貯蔵 おすすめ温度 冷酒 / 常温 保存方法 冷暗所 販売時期 通年 # おすすめ # 八反草 # 火入れ # 真吟精米 # 純米酒 {""id"":6964362281135,""title"":""富久長 八反草 純米 軟水仕込 辛口"",""handle"":""hattansojunmai"",""descriptio",
今田酒造本店,富久長,八反草 純米吟醸,https://fukucho.jp/products/hattanso-junmaiginjo,200.0,おすすめ温度 / 冷酒,"芸高田市産八反草（契約栽培） 精米歩合 麹米 : 50% 掛米 : 60% アルコール分 15％ 酵母 広島県酵母 酒母 速醸 仕様 直汲み / 原酒 / 一回火入れ / 瓶貯蔵 おすすめ温度 冷酒 保存方法 冷蔵庫 販売時期 通年 # おすすめ # 八反草 # 火入れ # 純米吟醸酒 # 純米酒 {""id"":6969266471087,""title"":""富久長 八反草 純米吟醸"",""handle"":""hattanso-junmaiginjo"",""description"":""",
今田酒造本店,富久長,八反草 純米吟醸 ハイブリッド生酛,https://fukucho.jp/products/hybridkimoto-junmaiginjo,200.0,おすすめ温度 / 冷酒 / 常温,"安芸高田市産八反草（契約栽培） 精米歩合 麹米 : 50% 掛米 : 60% アルコール分 15％ 酵母 広島県酵母 酒母 ハイブリッド生酛 仕様 原酒 / 瓶火入れ / 瓶貯蔵 おすすめ温度 冷酒 / 常温 保存方法 冷蔵庫 販売時期 通年 # おすすめ # ハイブリッド生酛 # 八反草 # 火入れ # 純米吟醸酒 # 純米酒 {""id"":6969412911279,""title"":""富久長 八反草 純米吟醸 ハイブリッド生酛"",""handle"":""hybridkimoto",
今田酒造本店,富久長,八反草 純米大吟醸,https://fukucho.jp/products/daiginjo,200.0,おすすめ温度 / 冷酒,"市産特別栽培八反草（契約栽培） 精米歩合 麹米 : 40% 掛米 : 40% アルコール分 15％ 酵母 広島県酵母 酒母 速醸 仕様 直汲み / 原酒 / 瓶火入れ / 瓶貯蔵 おすすめ温度 冷酒 保存方法 冷蔵庫 販売時期 通年 # おすすめ # 八反草 # 火入れ # 純米大吟醸酒 # 純米酒 {""id"":7614222401711,""title"":""富久長 八反草 純米大吟醸 【特別栽培米】"",""handle"":""daiginjo"",""description"":""\u",
今田酒造本店,富久長,八反草 純米大吟醸 はしり,https://fukucho.jp/products/daiginjo_hashiri,200.0,おすすめ温度 / 冷酒,"市産特別栽培八反草（契約栽培） 精米歩合 麹米 : 40% 掛米 : 40% アルコール分 16％ 酵母 広島県酵母 酒母 速醸 仕様 直汲み / 原酒 / 瓶火入れ / 瓶貯蔵 おすすめ温度 冷酒 保存方法 冷蔵庫 販売時期 通年 # おすすめ # 八反草 # 火入れ # 純米大吟醸酒 # 純米酒 {""id"":7614221451439,""title"":""富久長 八反草 純米大吟醸 はしり 【特別栽培米】"",""handle"":""daiginjo_hashiri"",""desc",
今田酒造本店,富久長,八反草 純米大吟醸 妙花風,https://fukucho.jp/products/daiginjo_myokafu,200.0,おすすめ温度 / 冷酒,"安芸高田市産八反草（契約栽培） 精米歩合 麹米 : 40% 掛米 : 40% アルコール分 16％ 酵母 広島県酵母 酒母 速醸 仕様 直汲み / 原酒 / 瓶火入れ / 瓶貯蔵 おすすめ温度 冷酒 保存方法 冷蔵庫 販売時期 通年 # おすすめ # 八反草 # 火入れ # 純米大吟醸酒 # 純米酒 # 雫 酒 {""id"":7614219026607,""title"":""富久長 八反草 純米大吟醸 妙花風 【特別栽培米】"",""handle"":""daiginjo_myokafu""",
今田酒造本店,富久長,山田錦 純米吟醸,https://fukucho.jp/products/yamadanishiki-junmaiginjo,200.0,おすすめ温度 / 冷酒,"庫県特A地区山田錦 精米歩合 麹米 : 50% 掛米 : 60% アルコール分 16％ 酵母 広島県酵母のブレンド 酒母 速醸 仕様 直汲み / 原酒 / 一回火入れ / 瓶貯蔵 おすすめ温度 冷酒 保存方法 冷蔵庫 販売時期 通年 # 山田錦 # 火入れ # 純米吟醸酒 # 純米酒 {""id"":6987737333935,""title"":""富久長 山田錦 純米吟醸"",""handle"":""yamadanishiki-junmaiginjo"",""description"":""\u",
今田酒造本店,富久長,海風土 Seafood 純米,https://fukucho.jp/products/seafood,200.0,おすすめ温度 / 冷酒 / 冷やして,"酒 原材料 米 / 米麹 原料米 国産米 精米歩合 麹米 : 60% 掛米 : 70% アルコール分 13％ 酵母 広島県酵母 酒母 速醸 仕様 原酒 / 一回火入れ / 瓶貯蔵 おすすめ温度 冷酒 保存方法 冷蔵庫 販売時期 通年 # おすすめ # 低アルコール # 火入れ # 白 麹 # 純米酒 {""id"":6987609768111,""title"":""富久長 海風土 Seafood 純米"",""handle"":""seafood"",""description"":""\u003c",
今田酒造本店,富久長,秋櫻〈コスモス〉 純米 ひやおろし,https://fukucho.jp/products/cosmos,200.0,おすすめ温度 / 冷酒 / 常温,"A地区山田錦 / 広島県産米 精米歩合 麹米 : 60% 掛米 : 60% アルコール分 15％ 酵母 広島県酵母 酒母 速醸 仕様 直汲み / 原酒 / 一回火入れ / 瓶貯蔵 おすすめ温度 冷酒 / 常温 保存方法 冷暗所 販売時期 秋季 # 季節限定 # 火入れ # 純米酒 {""id"":6969625346223,""title"":""富久長 秋櫻〈コスモス〉 純米 ひやおろし"",""handle"":""cosmos"",""description"":""\u003cp\u003eコ",
今田酒造本店,富久長,秋櫻〈コスモス〉 純米吟醸 ひやおろし,https://fukucho.jp/products/cosmos-junmaiginjo,200.0,おすすめ温度 / 冷酒,"A地区山田錦 / 広島県産米 精米歩合 麹米 : 50% 掛米 : 60% アルコール分 15％ 酵母 広島県酵母 酒母 速醸 仕様 直汲み / 原酒 / 一回火入れ / 瓶貯蔵 おすすめ温度 冷酒 保存方法 冷暗所 販売時期 秋季 # 季節限定 # 火入れ # 純米吟醸酒 # 純米酒 {""id"":6969578193071,""title"":""富久長 秋櫻〈コスモス〉 純米吟醸 ひやおろし"",""handle"":""cosmos-junmaiginjo"",""description",
