酒蔵,ブランド,商品名,メイン表採否,除外理由,ブランド史,個別商品の歴史,根拠区分,根拠URL,公開ページ日,ページ更新日,根拠抜粋,調査日
亀齢酒造,亀齢,亀齢 上撰,収録,,古くは「吉田屋の酒」として親しまれ、明治期に当主・石井幸太郎が「鶴は千年、亀は万年」の言葉にちなみ、長命と永遠の繁栄を願って「亀齢」と命名した。,亀齢の基本的な辛口本醸造として流通し、現行の専門商品ページでは常温・ぬる燗・熱燗を特に高く評価する定番酒として紹介されている。蔵の濃醇辛口の系譜を日常酒として担う商品である。,個別沿革確認,https://osake-style.com/SHOP/11012948.html,,,【このお酒の酒質】 精米歩合 70％ アルコール分 15度以上16度未満 日本酒度 +4.0 酸度 － 原料米 － 酵母 自家培養 【のみごろ温度】 ロック 冷酒 ○ 常温 ◎ ぬる燗 ◎ あつ燗 ◎ 日本酒度・酸度のバランスが、お酒の味を決めます。 | ：数値が大 なら 濃醇 / 数値が小 なら 淡麗 亀齢酒造 （ きれい ） の詳しい紹介はクリック 『亀齢酒造の日本酒はこんな酒 』 亀齢 本醸造 上撰 1800ml 古くは「吉田屋の酒」として親しまれていたが、明治初期にな,2026-09-06
亀齢酒造,亀齢,亀齢 大吟醸 創,収録,,古くは「吉田屋の酒」として親しまれ、明治期に当主・石井幸太郎が「鶴は千年、亀は万年」の言葉にちなみ、長命と永遠の繁栄を願って「亀齢」と命名した。,2026-09-06時点で現行の流通・商品ページに現行品として掲載され、大吟醸、使用米 山田錦、精米歩合 ４５％の設計で展開されている。,現行商品位置づけ,https://www.hiroshimasake.com/product/17,,,広島県の日本酒を専門通販 広島酒倶楽部 亀齢 大吟醸創(亀齢酒造) メニュー カート ご利用案内 初めての方 広島SAKE倶楽部 Q & A 問い合わせ カテゴリ 店長コラム 文字サイズ : 広島SAKE倶楽部TOP 新規の方はこちら 登録なしでもお買い物できます。 | ● 原料米 ： 山田錦 ● 精米歩合 ：４５％ ● 原材料名 ： 米 ・米 麹 ・ 醸造アルコール ● 日本酒度 ：＋５ ● 酸度 ：1.6 ● アルコール ：17度以上18度未満 ●甘辛：やや辛口 亀齢酒造,2026-09-06
亀齢酒造,亀齢,亀齢 無濾過 五段仕込純米酒 八九(はちく) 生酒,収録,,古くは「吉田屋の酒」として親しまれ、明治期に当主・石井幸太郎が「鶴は千年、亀は万年」の言葉にちなみ、長命と永遠の繁栄を願って「亀齢」と命名した。,辛口を基調とする亀齢では珍しい甘口の純米生酒として、年1回の限定発売で展開される商品。麹歩合89%と五段仕込みを組み合わせる独自設計が商品名「八九」の核になっている。,個別沿革確認,https://www.hiroshimasake.com/product/182,,,広島県の日本酒を専門通販 広島酒倶楽部 亀齢 無濾過 五段仕込純米酒 八九 生酒(亀齢酒造) メニュー カート ご利用案内 初めての方 広島SAKE倶楽部 Q & A 問い合わせ カテゴリ 店長コラム 文字サイズ : 広島SAKE倶楽部TOP 新規の方はこちら 登録なしでもお買い物できます。 | 本数限定商品 Tweet Facebookでシェア 数量 : 1 2 3 4 5 6 7 8 9 10 11 12 13 14 返品特約に関する重要事項 お酒詳細 亀齢 無濾過 五段,2026-09-06
亀齢酒造,亀齢,亀齢 純米吟醸 六拾,収録,,古くは「吉田屋の酒」として親しまれ、明治期に当主・石井幸太郎が「鶴は千年、亀は万年」の言葉にちなみ、長命と永遠の繁栄を願って「亀齢」と命名した。,東広島市の「日本酒10蔵定期便」で、蔵元・杜氏が選ぶ酒の一つとして現行取扱いを確認できる純米吟醸。精米歩合を商品名に掲げる亀齢の六拾系商品として流通している。,個別沿革確認,https://e-sake.jp/article/article-1369/,,,東広島市内にある10の蔵元の「日本酒を通じ全国の皆さまと繋がり、絆を作りたい」という思いを伝えるため、蔵元・杜氏が厳選したふるさと納税返礼品「東広島日本酒10蔵定期便」を提供します。 | 限定50セット で、「 期間限定 ・ 予約のみ」 の受付となります。 | 杜氏渾身の大吟醸 、お 届けする季節に応じたフレッシュな生酒 、 通常蔵内でのみ販売している限定酒 など、各酒蔵の真心を込めた日本酒を蔵元から直送でお届けします。 | ぜひ、日本酒を通じ蔵元・杜氏の思いを感じながら、味,2026-09-06
亀齢酒造,亀齢,亀齢 純米吟醸 原形精米 migaki 無濾過生酒,収録,,古くは「吉田屋の酒」として親しまれ、明治期に当主・石井幸太郎が「鶴は千年、亀は万年」の言葉にちなみ、長命と永遠の繁栄を願って「亀齢」と命名した。,玄米の形を保ちながら磨く「原形精米」を採用した純米吟醸の無濾過生酒。従来の球形精米とは異なる精米技術を商品コンセプトに据えた限定ラインとして展開されている。,個別沿革確認,https://www.hiroshimasake.com/product/550,,,広島県の日本酒を専門通販 広島酒倶楽部 亀齢 純米吟醸migaki 無濾過生酒(亀齢酒造) メニュー カート ご利用案内 初めての方 広島SAKE倶楽部 Q & A 問い合わせ カテゴリ 店長コラム 文字サイズ : 広島SAKE倶楽部TOP 新規の方はこちら 登録なしでもお買い物できます。 | 本数限定商品 Tweet Facebookでシェア 数量 : 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 2,2026-09-06
亀齢酒造,亀齢,亀齢 純米吟醸 原形精米 migaki 萌えいぶき 生酒,収録,,古くは「吉田屋の酒」として親しまれ、明治期に当主・石井幸太郎が「鶴は千年、亀は万年」の言葉にちなみ、長命と永遠の繁栄を願って「亀齢」と命名した。,原形精米の「migaki」系列に、広島県の新しい酒米「萌えいぶき」を組み合わせた生酒。新酒米と新しい精米方法を同時に試す商品として、現行の限定ラインに加わっている。,個別沿革確認,https://www.hiroshimasake.com/product/581,,,広島県の日本酒を専門通販 広島酒倶楽部 亀齢 純米吟醸 原形精米 migaki 萌えいぶき 生酒(亀齢酒造) メニュー カート ご利用案内 初めての方 広島SAKE倶楽部 Q & A 問い合わせ カテゴリ 店長コラム 文字サイズ : 広島SAKE倶楽部TOP 新規の方はこちら 登録なしでもお買い物できます。 | 本数限定商品 Tweet Facebookでシェア 数量 : 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 2,2026-09-06
亀齢酒造,亀齢,亀齢 辛口純米 八拾,収録,,古くは「吉田屋の酒」として親しまれ、明治期に当主・石井幸太郎が「鶴は千年、亀は万年」の言葉にちなみ、長命と永遠の繁栄を願って「亀齢」と命名した。,少なくとも2016年3月11日には専門流通ページで取扱いが確認できる限定流通の辛口純米。中生新千本を80%精米で使う低精白設計を特徴とし、現在まで継続して流通している。,個別沿革確認,https://www.hiroshimasake.com/product/37,2016-03-11,,広島県の日本酒を専門通販 広島酒倶楽部 亀齢 辛口純米 八拾(亀齢酒造) メニュー カート ご利用案内 初めての方 広島SAKE倶楽部 Q & A 問い合わせ カテゴリ 店長コラム 文字サイズ : 広島SAKE倶楽部TOP 新規の方はこちら 登録なしでもお買い物できます。 | ● 原料米 ： 中生新千本 ● 精米歩合 ：８０％ ● 原材料名 ： 米 ・米 麹 ● 日本酒度 ：＋５ ● 酸度 ：1.9度 ● 酵母 ：自家培養 ● アルコール ：17度 ●甘辛：辛口 720mlは,2026-09-06
亀齢酒造,亀齢,亀齢 辛口純米 八拾 生酒,収録,,古くは「吉田屋の酒」として親しまれ、明治期に当主・石井幸太郎が「鶴は千年、亀は万年」の言葉にちなみ、長命と永遠の繁栄を願って「亀齢」と命名した。,人気商品として案内される。生酒という仕立てで通常品と区別される。2026-09-06時点で現行の流通・商品ページに現行品として掲載され、純米、使用米 中生新千本、精米歩合 80％の設計で展開されている。,現行商品位置づけ,https://www.hiroshimasake.com/product/96,,,広島県の日本酒を専門通販 広島酒倶楽部 亀齢 辛口純米 八拾(生酒)(亀齢酒造) お店トップ ｜ 会社概要 ｜ Webフォームでのご注文 ｜ メールでのご注文 ｜ FAXでのご注文 ｜ お酒探しご依頼 ｜ facebook メニュー カート ご利用案内 初めての方 広島SAKE倶楽部 Q & A 問い合わせ カテゴリ 店長コラム 文字サイズ : 広島SAKE倶楽部TOP 新規の方はこちら 登録なしでもお買い物できます。 | ●原料米：中生新千本 ●精米歩合：80％ ●原材料名,2026-09-06
亀齢酒造,亀齢,吉田屋の酒,収録,,古くは「吉田屋の酒」として親しまれ、明治期に当主・石井幸太郎が「鶴は千年、亀は万年」の言葉にちなみ、長命と永遠の繁栄を願って「亀齢」と命名した。,亀齢の旧来の呼称「吉田屋の酒」を現代の商品名として残した、直売所「万年亀舎」だけの限定酒。ブランドが亀齢へ改称する以前の屋号・酒名を、蔵限定商品として現在へ伝えている。,個別沿革確認,https://kireikireikirei.jimdofree.com/酒蔵土産売場-まねきや/,,,開店時間 お正月を除くほぼ通年開店 （土日祝日は不定期に休業することがあります） 平 日： ９時～１６時(昼休憩あり) 土 日 祝 日：１０時半～１６時 主な販売酒 吉田屋の酒（「万年亀舎」だけの限定酒） 大吟醸 創 純米大吟醸 亀香 純米酒 など 主な販売品 豆氏さん （大吟醸酒粕をまぶした豆菓子） 醸華町うどん (お酒で練ったうどん） 北海道産小麦使用・乾麺にリニューアル！,2026-09-06
亀齢酒造,亀齢,純米大吟醸 亀香,収録,,古くは「吉田屋の酒」として親しまれ、明治期に当主・石井幸太郎が「鶴は千年、亀は万年」の言葉にちなみ、長命と永遠の繁栄を願って「亀齢」と命名した。,亀齢酒造の直売所「万年亀舎」で、大吟醸「創」や「吉田屋の酒」と並ぶ主な販売酒として継続掲示されている純米大吟醸。蔵直売の上位商品群を担う一本である。,個別沿革確認,https://kireikireikirei.jimdofree.com/酒蔵土産売場-まねきや/,,,開店時間 お正月を除くほぼ通年開店 （土日祝日は不定期に休業することがあります） 平 日： ９時～１６時(昼休憩あり) 土 日 祝 日：１０時半～１６時 主な販売酒 吉田屋の酒（「万年亀舎」だけの限定酒） 大吟醸 創 純米大吟醸 亀香 純米酒 など 主な販売品 豆氏さん （大吟醸酒粕をまぶした豆菓子） 醸華町うどん (お酒で練ったうどん） 北海道産小麦使用・乾麺にリニューアル！,2026-09-06
