酒蔵,ブランド,商品名,分類,使用米,精米歩合,流通区分,備考,出典URL,page_status,page_title,page_description,page_published,page_modified,page_history_excerpt,page_error,search_query,search_results,search_error
亀齢酒造,亀齢,亀齢 上撰,普通酒・上撰,,,一般流通,現行酒販店で在庫ありを確認,https://osake-style.com/SHOP/11012948.html,200,亀齢 本醸造 上撰 1800ml,『 淡麗ではなく濃醇、味わいの深い辛口酒 』広島県内の中では最たる辛口の酒を、醸してきた蔵元が『 亀齢 』です。亀齢酒造（きれいしゅぞう）株式会社の銘柄の由来、「百薬の長」である酒を口にして、亀のごとく長く生きることから名付けられました。辛口の本醸造は、燗酒にすると絶品と大好評！現代でも、レベルの高い酒造りが、飲み手から高い評価を受けています。,,,【このお酒の酒質】 精米歩合 70％ アルコール分 15度以上16度未満 日本酒度 +4.0 酸度 － 原料米 － 酵母 自家培養 【のみごろ温度】 ロック 冷酒 ○ 常温 ◎ ぬる燗 ◎ あつ燗 ◎ 日本酒度・酸度のバランスが、お酒の味を決めます。 | ：数値が大 なら 濃醇 / 数値が小 なら 淡麗 亀齢酒造 （ きれい ） の詳しい紹介はクリック 『亀齢酒造の日本酒はこんな酒 』 亀齢 本醸造 上撰 1800ml 古くは「吉田屋の酒」として親しまれていたが、明治初期になって「亀齢」と命名。 | 大正６年の全国清酒品評会で、「月桂冠」や「賀茂鶴」とともに、日本初の名誉賞を受賞し、その縁起の良い名を全国に広く知らしめることになる。 | 「亀齢」は「月桂冠」や「賀茂鶴」とともに、日本初の名誉賞を受賞し、その縁起の良い名を広く知らしめることになりました。,,"""亀齢 上撰"" ""亀齢酒造"" 発売 OR 新発売 OR 受賞 OR リニューアル OR 限定",[],
亀齢酒造,亀齢,亀齢 大吟醸 創,大吟醸,山田錦,４５％,一般流通,現行小売店で販売確認（メーカー公式の販売状態ではない）,https://www.hiroshimasake.com/product/17,200,亀齢 大吟醸創(亀齢酒造) 広島県の日本酒を専門通販 広島酒倶楽部,自家井戸より汲み上げた中硬水と、厳選された酒米とを用いて醸した自醸酒100％の清酒亀齢。 亀齢 大吟醸創自家井戸より汲み上げた中硬水と、厳選された酒米とを用いて醸した自醸酒100％の清酒亀齢。こくとキレを心ゆくまでお愉しみ下さい。●原料米：山田錦●精米歩合：４５％●原材料名：米・米麹・醸造…,,,広島県の日本酒を専門通販 広島酒倶楽部 亀齢 大吟醸創(亀齢酒造) メニュー カート ご利用案内 初めての方 広島SAKE倶楽部 Q & A 問い合わせ カテゴリ 店長コラム 文字サイズ : 広島SAKE倶楽部TOP 新規の方はこちら 登録なしでもお買い物できます。 | ● 原料米 ： 山田錦 ● 精米歩合 ：４５％ ● 原材料名 ： 米 ・米 麹 ・ 醸造アルコール ● 日本酒度 ：＋５ ● 酸度 ：1.6 ● アルコール ：17度以上18度未満 ●甘辛：やや辛口 亀齢酒造株式会社 東広島市西条本町8-18 日本酒は日本の貴重な独自文化。 | 大正６年の全国清酒品評会で、「月桂冠」「 賀茂鶴 」とともに、日本初の名誉賞を受賞したのが、この亀齢だったのだ。,,"""亀齢 大吟醸 創"" ""亀齢酒造"" 発売 OR 新発売 OR 受賞 OR リニューアル OR 限定",[],
亀齢酒造,亀齢,亀齢 無濾過 五段仕込純米酒 八九(はちく) 生酒,純米,,70％,季節商品,現行小売店で販売確認（メーカー公式の販売状態ではない）,https://www.hiroshimasake.com/product/182,200,亀齢 無濾過 五段仕込純米酒 八九 生酒(亀齢酒造) 広島県の日本酒を専門通販 広島酒倶楽部,亀齢 無濾過 五段仕込純米酒 八九 生酒は広島県産米を70％までに精米し、麹歩合89％の手間暇かかった純米酒です フレッシュかつジューシーで後味さっぱりの甘口のお酒です 亀齢 無濾過 五段仕込純米酒 八九(はちく) 生酒【1年に1回の限定発売となります】辛口が特徴の亀齢酒造では珍しい甘口の日本酒です。豊かな甘い香りがジューシーで、口の中がまろやかさで包まれます。甘みと…,,,広島県の日本酒を専門通販 広島酒倶楽部 亀齢 無濾過 五段仕込純米酒 八九 生酒(亀齢酒造) メニュー カート ご利用案内 初めての方 広島SAKE倶楽部 Q & A 問い合わせ カテゴリ 店長コラム 文字サイズ : 広島SAKE倶楽部TOP 新規の方はこちら 登録なしでもお買い物できます。 | 本数限定商品 Tweet Facebookでシェア 数量 : 1 2 3 4 5 6 7 8 9 10 11 12 13 14 返品特約に関する重要事項 お酒詳細 亀齢 無濾過 五段仕込純米酒 八九(はちく) 生酒 【1年に1回の限定発売となります】 辛口が特徴の亀齢酒造では珍しい甘口の日本酒です。 | 通常は1度の仕込みで使われるお米の割合は、麹用が20％〜30％、酒母米(＝酒母用に使われるお米)が約10％、残りの約70%は掛米として使用されます。 | ● 精米歩合 ：70％ ●麹歩合：89％ ● 原材料名 ： 米 ・米 麹 ● 日本酒度 ：-18 ● 酸度 ：3.0 ● 酵母 ：自家培養 ● アルコール ：17度 ●アミノ酸度：2.4 ●もろみ日数：27日 ●甘辛：甘口 亀齢酒造株式会社 東広島市西条本町8-18 日本酒は日本の貴重な独自文化。,,"""亀齢 無濾過 五段仕込純米酒 八九(はちく) 生酒"" ""亀齢酒造"" 発売 OR 新発売 OR 受賞 OR リニューアル OR 限定",[],
亀齢酒造,亀齢,亀齢 純米吟醸 六拾,純米吟醸,,,一般流通,2026年5月 東広島10蔵定期便採用,https://e-sake.jp/article/article-1369/,200,2025「東広島の日本酒10蔵定期便」受注開始しました | 日本酒10 – ディスカバー東広島,東広島の日本酒10蔵定期便とは東広島市は市内に10の酒蔵があり、地域の良質な米と水、優れた技術から生まれる特徴のある酒造りが行われています。東広島市内にある10の蔵元の「日本酒を通じ全国の皆さまと繋が... 東広島の日本酒10蔵定期便とは東広島市は市内に10の酒蔵があり、地域の良質な米と水、優れた技術から生まれる特徴のある酒造りが行われています。東広島市内にある10の蔵元の「日本酒を通じ全国の皆さまと繋が...,,,東広島市内にある10の蔵元の「日本酒を通じ全国の皆さまと繋がり、絆を作りたい」という思いを伝えるため、蔵元・杜氏が厳選したふるさと納税返礼品「東広島日本酒10蔵定期便」を提供します。 | 限定50セット で、「 期間限定 ・ 予約のみ」 の受付となります。 | 杜氏渾身の大吟醸 、お 届けする季節に応じたフレッシュな生酒 、 通常蔵内でのみ販売している限定酒 など、各酒蔵の真心を込めた日本酒を蔵元から直送でお届けします。 | ぜひ、日本酒を通じ蔵元・杜氏の思いを感じながら、味わってください。,,"""亀齢 純米吟醸 六拾"" ""亀齢酒造"" 発売 OR 新発売 OR 受賞 OR リニューアル OR 限定",[],
亀齢酒造,亀齢,亀齢 純米吟醸 原形精米 migaki 無濾過生酒,純米吟醸,千本錦100%,60％,季節商品,現行小売店で販売確認（メーカー公式の販売状態ではない）,https://www.hiroshimasake.com/product/550,200,亀齢 純米吟醸migaki 無濾過生酒(亀齢酒造) 広島県の日本酒を専門通販 広島酒倶楽部,亀齢 純米吟醸migaki 無濾過生酒はフルーティーな香りと、豊かな含み香、亀齢らしいキレとしっかりしたうま味もある無無濾過生酒です。 亀齢 純米吟醸 原形精米 migaki 無濾過生酒 りんごを思わせるフルーティーな香り。最初の口当たりは柔らかくなめらかです。その後、亀齢らしく舌に響くピリリとした刺激と、長く続くドライな酸味。なめら…,,,広島県の日本酒を専門通販 広島酒倶楽部 亀齢 純米吟醸migaki 無濾過生酒(亀齢酒造) メニュー カート ご利用案内 初めての方 広島SAKE倶楽部 Q & A 問い合わせ カテゴリ 店長コラム 文字サイズ : 広島SAKE倶楽部TOP 新規の方はこちら 登録なしでもお買い物できます。 | 本数限定商品 Tweet Facebookでシェア 数量 : 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 返品特約に関する重要事項 お酒詳細 亀齢 純米吟醸 原形精米 migaki 無濾過生酒 りんごを思わせるフルーティーな香り。 | 「原形精米」は酒米の元の形（玄米）に近い状態で磨き上げる精米方法。 | 大正６年の 全国新酒鑑評会 で、「月桂冠」「賀茂鶴」とともに、日本初の名誉賞を受賞したのが、この亀齢だったのだ。,,"""亀齢 純米吟醸 原形精米 migaki 無濾過生酒"" ""亀齢酒造"" 発売 OR 新発売 OR 受賞 OR リニューアル OR 限定",[],
亀齢酒造,亀齢,亀齢 純米吟醸 原形精米 migaki 萌えいぶき 生酒,純米吟醸,萌えいぶき,60％,季節商品,現行小売店で販売確認（メーカー公式の販売状態ではない）,https://www.hiroshimasake.com/product/581,200,亀齢 純米吟醸 原形精米 migaki 無濾過生酒(亀齢酒造) 広島県の日本酒を専門通販 広島酒倶楽部,亀齢 純米吟醸 原形精米 migaki 萌えいぶき 生酒は亀齢にしては珍しく、ほんのり甘め。 香りは控えめで、しっかり味がして芯のある濃い旨味を楽しめます。 原形精米による雑味のないきれいな仕上がりの中に、若々しく爽快な青さが余韻として残ります。 亀齢 純米吟醸 原形精米 migaki 萌えいぶき 生酒広島県の酒米・萌えいぶき使用。亀齢にしては珍しく、ほんのり甘め。香りは控えめで、しっかり味がして芯のある濃い旨味を楽しめます。原形精米による雑味…,,,広島県の日本酒を専門通販 広島酒倶楽部 亀齢 純米吟醸 原形精米 migaki 萌えいぶき 生酒(亀齢酒造) メニュー カート ご利用案内 初めての方 広島SAKE倶楽部 Q & A 問い合わせ カテゴリ 店長コラム 文字サイズ : 広島SAKE倶楽部TOP 新規の方はこちら 登録なしでもお買い物できます。 | 本数限定商品 Tweet Facebookでシェア 数量 : 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 返品特約に関する重要事項 お酒詳細 亀齢 純米吟醸 原形精米 migaki 萌えいぶき 生酒 広島県の酒米・萌えいぶき使用。 | 「原形精米」は酒米の元の形（玄米）に近い状態で磨き上げる精米方法。 | 大正6年の 全国新酒鑑評会 で、「月桂冠」「賀茂鶴」とともに、日本初の名誉賞を受賞したのが、この亀齢だったのだ。,,"""亀齢 純米吟醸 原形精米 migaki 萌えいぶき 生酒"" ""亀齢酒造"" 発売 OR 新発売 OR 受賞 OR リニューアル OR 限定",[],
亀齢酒造,亀齢,亀齢 辛口純米 八拾,純米,中生新千本,８０％,限定流通,現行小売店で販売確認（メーカー公式の販売状態ではない）,https://www.hiroshimasake.com/product/37,200,亀齢 辛口純米 八拾(亀齢酒造) 広島県の日本酒を専門通販 広島酒倶楽部,亀齢 辛口純米 八拾は中生新千本を８０％精米して造り上げた辛口純米のとてもリーズナブルなお酒です。 香りも良く、後味も良く、飲みごたえのある、三拍子揃ったのにこの値段とは”ビックリ”です。 亀齢 辛口純米 八拾【このお酒は限定流通商品です】中生新千本を８０％精米して造り上げた辛口純米のとてもリーズナブルなお酒です。香りも良く、後味も良く、飲みごたえのある、三拍子揃ったのにこの値段とは”ビ…,2016-03-11,,広島県の日本酒を専門通販 広島酒倶楽部 亀齢 辛口純米 八拾(亀齢酒造) メニュー カート ご利用案内 初めての方 広島SAKE倶楽部 Q & A 問い合わせ カテゴリ 店長コラム 文字サイズ : 広島SAKE倶楽部TOP 新規の方はこちら 登録なしでもお買い物できます。 | ● 原料米 ： 中生新千本 ● 精米歩合 ：８０％ ● 原材料名 ： 米 ・米 麹 ● 日本酒度 ：＋５ ● 酸度 ：1.9度 ● 酵母 ：自家培養 ● アルコール ：17度 ●甘辛：辛口 720mlはこちら 生酒はこちら 亀齢酒造株式会社 東広島市西条本町8-18 日本酒は日本の貴重な独自文化。 | 大正６年の全国清酒品評会で、「月桂冠」「 賀茂鶴 」とともに、日本初の名誉賞を受賞したのが、この亀齢だったのだ。,,"""亀齢 辛口純米 八拾"" ""亀齢酒造"" 発売 OR 新発売 OR 受賞 OR リニューアル OR 限定",[],
亀齢酒造,亀齢,亀齢 辛口純米 八拾 生酒,純米,中生新千本,80％,季節商品,現行小売店で販売確認（メーカー公式の販売状態ではない）,https://www.hiroshimasake.com/product/96,200,亀齢 辛口純米 八拾(生酒)(亀齢酒造) 広島県の日本酒を専門通販 広島酒倶楽部,亀齢 辛口純米 八拾(生酒)は中生新千本を８０％精米して造り上げた辛口純米のとてもリーズナブルなお酒です。 香りも良く、後味も良く、飲みごたえのある、三拍子揃ったのにこの値段とは”ビックリ”です。 亀齢 辛口純米 八拾(生酒) 当店人気NO.1の辛口八拾の無濾過生酒バージョンです。 通常商品と飲み比べしてみていかがでしょうか。中生新千本を８０％精米して造り上げた辛口純米のとてもリーズナブルな生酒…,,,広島県の日本酒を専門通販 広島酒倶楽部 亀齢 辛口純米 八拾(生酒)(亀齢酒造) お店トップ ｜ 会社概要 ｜ Webフォームでのご注文 ｜ メールでのご注文 ｜ FAXでのご注文 ｜ お酒探しご依頼 ｜ facebook メニュー カート ご利用案内 初めての方 広島SAKE倶楽部 Q & A 問い合わせ カテゴリ 店長コラム 文字サイズ : 広島SAKE倶楽部TOP 新規の方はこちら 登録なしでもお買い物できます。 | ●原料米：中生新千本 ●精米歩合：80％ ●原材料名：米・米麹 ●酵母：自家培養 ●アルコール：17.0度 ●甘辛：辛口 さすが亀齢の上田さんがおすすめするお買い得のお酒です。 | 大正６年の全国清酒品評会で、「月桂冠」「 賀茂鶴 」とともに、日本初の名誉賞を受賞したのが、この亀齢だったのだ。,,"""亀齢 辛口純米 八拾 生酒"" ""亀齢酒造"" 発売 OR 新発売 OR 受賞 OR リニューアル OR 限定",[],
亀齢酒造,亀齢萬年,亀齢萬年 山田錦 生酒,その他,山田錦,60％,季節商品,現行小売店で販売確認（メーカー公式の販売状態ではない）,https://www.hiroshimasake.com/product/15,200,亀齢萬年 山田錦(亀齢酒造) 広島県の日本酒を専門通販 広島酒倶楽部,酒造好適米山田錦による立上る吟醸香と繊細な味わい、米の旨味を十分に引き出して丁寧に仕上がった辛口のお酒を、蔵内管理温度－３℃の氷温長期熟成し美味しさがアップした生酒です。 亀齢萬年 山田錦米の旨味を十分に引き出して丁寧に仕上がった辛口のお酒を、蔵内管理温度－3℃の氷温長期熟成。氷温熟成なので新酒の瑞々しさを残しつつ、熟成によるまろやかな口当たりを楽しめます。【味わい】派…,2016-05-31,,広島県の日本酒を専門通販 広島酒倶楽部 亀齢萬年 山田錦(亀齢酒造) メニュー カート ご利用案内 初めての方 広島SAKE倶楽部 Q & A 問い合わせ カテゴリ 店長コラム 文字サイズ : 広島SAKE倶楽部TOP 新規の方はこちら 登録なしでもお買い物できます。 | 本数限定商品 5.00 1 件のレビュー Tweet Facebookでシェア 数量 : 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 返品特約に関する重要事項 お酒詳細 亀齢萬年 山田錦 米の旨味を十分に引き出して丁寧に仕上がった辛口のお酒を、蔵内管理温度－3℃の氷温長期熟成。 | 大正６年の全国清酒品評会で、「月桂冠」「 賀茂鶴 」とともに、日本初の名誉賞を受賞したのが、この亀齢だったのだ。,,"""亀齢萬年 山田錦 生酒"" ""亀齢酒造"" 発売 OR 新発売 OR 受賞 OR リニューアル OR 限定",[],
亀齢酒造,亀齢萬年,亀齢萬年 山田錦おりがらみ 生酒,その他,山田錦,60％,季節商品,現行小売店で販売確認（メーカー公式の販売状態ではない）,https://www.hiroshimasake.com/product/564,200,亀齢萬年 山田錦(亀齢酒造) 広島県の日本酒を専門通販 広島酒倶楽部,亀齢萬年 山田錦はおりがらみのクリーミーなコクがクセになるフレッシュな生酒。 驚くほど軽快な後口が魅力です。 亀齢萬年 山田錦おりがらみおりがらみのクリーミーなコクがクセになるフレッシュな生酒。驚くほど軽快な後口が魅力です。最初は混ぜずに「澄んだ上澄み」のクリアなキレを。次に、ゆっくりと瓶を反転させて「澱」を…,,,広島県の日本酒を専門通販 広島酒倶楽部 亀齢萬年 山田錦(亀齢酒造) メニュー カート ご利用案内 初めての方 広島SAKE倶楽部 Q & A 問い合わせ カテゴリ 店長コラム 文字サイズ : 広島SAKE倶楽部TOP 新規の方はこちら 登録なしでもお買い物できます。 | 本数限定商品 Tweet Facebookでシェア 数量 : 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 返品特約に関する重要事項 お酒詳細 亀齢萬年 山田錦おりがらみ おりがらみのクリーミーなコクがクセになるフレッシュな生酒。 | 大正６年の全国清酒品評会で、「月桂冠」「 賀茂鶴 」とともに、日本初の名誉賞を受賞したのが、この亀齢だったのだ。,,"""亀齢萬年 山田錦おりがらみ 生酒"" ""亀齢酒造"" 発売 OR 新発売 OR 受賞 OR リニューアル OR 限定",[],
