record_id,酒蔵,ブランド,商品名,正式名称,販売状態,販売状態確認日,特定名称,精米歩合,アルコール度数,日本酒度,酸度,アミノ酸度,甘辛度,使用米,酵母,製法,おすすめ温度,おすすめ酒器,料理ペアリング,おすすめシーン,容量,価格,発売時期,終売時期,備考,詳細ファイル,主出典ID,出典数
KIREI_E562A295E5,亀齢酒造,亀齢,亀齢 万事酒盃中 おりがらみ,亀齢 万事酒盃中 おりがらみ,不明,2026-09-05,,,,,,,,,,,,,,,,,,,2026年蔵開き限定酒,亀齢酒造/亀齢 万事酒盃中 おりがらみ.md,SRC_F6062DB1B776,1
KIREI_5EC9BF7729,亀齢酒造,亀齢,亀齢 大吟醸 創,亀齢 大吟醸 創,販売中,2026-09-05,大吟醸,４５％,17度以上18度未満,＋５,1.6,,,山田錦 ●精米歩合：４５％ ●原材料名：米・米麹・醸造アルコール ●日本酒度：＋５ ●酸度：1.6 ●アルコール：17度以上18度未満 ●甘辛：やや辛口 亀齢酒,,,燗酒,,,,,,,,現行小売店で販売確認（メーカー公式の販売状態ではない）,亀齢酒造/亀齢 大吟醸 創.md,SRC_387BFDB0E86F,1
KIREI_B424C984AD,亀齢酒造,亀齢,亀齢 無濾過 五段仕込純米酒 八九(はちく) 生酒,亀齢 無濾過 五段仕込純米酒 八九(はちく) 生酒,販売中,2026-09-05,純米酒,70％,17度,-18,3.0,2.4,,,,,燗酒,,,,,,,,現行小売店で販売確認（メーカー公式の販売状態ではない）,亀齢酒造/亀齢 無濾過 五段仕込純米酒 八九(はちく) 生酒.md,SRC_075A8B7295D1,2
KIREI_2C66C17122,亀齢酒造,亀齢,亀齢 純米吟醸 原形精米 migaki 無濾過生酒,亀齢 純米吟醸 原形精米 migaki 無濾過生酒,販売中,2026-09-05,純米吟醸,60％,16度,,,,,千本錦100% ●精米歩合：60％ ●原材料名：米・米麹 ●アルコール：16度 ●甘辛：辛口 亀齢酒造株式会社 東広島市西条本町8-18 日本酒は日本の貴重な独,,,燗酒,,,,,,,,現行小売店で販売確認（メーカー公式の販売状態ではない）,亀齢酒造/亀齢 純米吟醸 原形精米 migaki 無濾過生酒.md,SRC_323367067E1B,2
KIREI_6AF91277C6,亀齢酒造,亀齢,亀齢 純米吟醸 原形精米 migaki 萌えいぶき 生酒,亀齢 純米吟醸 原形精米 migaki 萌えいぶき 生酒,販売中,2026-09-05,純米吟醸,60％,18度,,,,,萌えいぶき ●精米歩合：60％ ●原材料名：米・米麹 ●アルコール：18度 ●甘辛：中口 亀齢酒造株式会社 東広島市西条本町8-18 日本酒は日本の貴重な独自文,,,燗酒,,,,,,,,現行小売店で販売確認（メーカー公式の販売状態ではない）,亀齢酒造/亀齢 純米吟醸 原形精米 migaki 萌えいぶき 生酒.md,SRC_5FDA6DB43B09,2
KIREI_D9C98E785E,亀齢酒造,亀齢,亀齢 純米大吟醸 千本錦,亀齢 純米大吟醸 千本錦,不明,2026-09-05,純米大吟醸,,,,,,,,,,,,,,,,,,2026年蔵開き限定酒,亀齢酒造/亀齢 純米大吟醸 千本錦.md,SRC_F6062DB1B776,1
KIREI_BA16BFDFAB,亀齢酒造,亀齢,亀齢 辛口純米 八拾,亀齢 辛口純米 八拾,販売中,2026-09-05,純米酒,８０％,17度,＋５,1.9,,,中生新千本 ●精米歩合：８０％ ●原材料名：米・米麹 ●日本酒度：＋５ ●酸度：1.9度 ●酵母：自家培養 ●アルコール：17度 ●甘辛：辛口 720mlはこち,,,燗酒,,,,,,,,現行小売店で販売確認（メーカー公式の販売状態ではない）,亀齢酒造/亀齢 辛口純米 八拾.md,SRC_BD7E73A7AF42,2
KIREI_7949664751,亀齢酒造,亀齢,亀齢 辛口純米 八拾 生酒,亀齢 辛口純米 八拾 生酒,販売中,2026-09-05,純米酒,80％,17.0度,,,,,中生新千本 ●精米歩合：80％ ●原材料名：米・米麹 ●酵母：自家培養 ●アルコール：17.0度 ●甘辛：辛口 さすが亀齢の上田さんがおすすめするお買い得のお酒,,,燗酒,,,,,,,,現行小売店で販売確認（メーカー公式の販売状態ではない）,亀齢酒造/亀齢 辛口純米 八拾 生酒.md,SRC_30E18331357E,2
KIREI_864CA12C50,亀齢酒造,亀齢,亀齢 酒まつり限定 ひやおろし,亀齢 酒まつり限定 ひやおろし,不明,2026-09-05,,,,,,,,,,,,,,,,,,,2025酒まつり限定、現在状態不明,亀齢酒造/亀齢 酒まつり限定 ひやおろし.md,SRC_B863D2B51F8D,1
KIREI_188BB03670,亀齢酒造,亀齢,亀齢 酒まつり限定 純米原酒,亀齢 酒まつり限定 純米原酒,不明,2026-09-05,純米酒,,,,,,,,,,,,,,,,,,2025酒まつり限定、現在状態不明,亀齢酒造/亀齢 酒まつり限定 純米原酒.md,SRC_B863D2B51F8D,1
