酒蔵,ブランド,シリーズ,主要銘柄,商品名,分類,甘辛目安,日本酒度,精米歩合,アルコール度数,飲み方,使用米,容量,参考価格,流通区分,備考,出典URL
今田酒造本店,富久長,,○,海風土 Seafood 純米,純米,不明,,60% / 70%,13度,冷酒 / 冷やして,国産米,"720ml / 1,800ml","1,980～3,850円",一般流通,公式オンラインショップで在庫あり,https://fukucho.jp/products/seafood
今田酒造本店,富久長,,○,辛口純米,純米,辛口,,60% / 65%,15度,冷酒 / 常温 / 燗酒,東広島市産山田錦 / 兵庫県特A地区山田錦 / 広島県産米,"720ml / 1,800ml","1,980～3,300円",一般流通,公式オンラインショップで在庫あり / 二次DBでも存在確認,https://fukucho.jp/products/karakuchi
今田酒造本店,富久長,,○,八反草 純米吟醸,純米吟醸,不明,,50% / 60%,15度,冷酒,八反草（契約栽培）,"720ml / 1,800ml","2,200～4,290円",一般流通,公式オンラインショップで在庫あり / 二次DBでも存在確認,https://fukucho.jp/products/hattanso-junmaiginjo
今田酒造本店,富久長,,○,純米吟醸 美穂 Biho,純米吟醸,不明,,50% / 60%,15度,冷酒,東広島市産山田錦 / 兵庫県特A地区山田錦 / 広島県産米,"720ml / 1,800ml","2,090～3,960円",一般流通,公式オンラインショップで在庫あり,https://fukucho.jp/products/biho
今田酒造本店,富久長,,○,八反草 純米大吟醸 妙花風,純米大吟醸,不明,,40%,16度,冷酒,八反草（特別栽培米）,720ml,"13,200円",一般流通,公式オンラインショップで在庫あり,https://fukucho.jp/products/daiginjo_myokafu
今田酒造本店,FUKUCHO LEGACY,,,FUKUCHO LEGACY I,その他,不明,,,,冷酒 / 常温,兵庫県特A地区山田錦,500ml,"33,000円",一般流通,公式オンラインショップで在庫あり,https://fukucho.jp/products/legacy1
今田酒造本店,FUKUCHO LEGACY,,,FUKUCHO LEGACY II,その他,不明,,,,冷酒 / 常温,兵庫県特A地区山田錦,500ml,"33,000円",一般流通,公式オンラインショップで在庫あり,https://fukucho.jp/products/legacy2
今田酒造本店,富久長,,,八反草 サタケシリーズ GENKEI,その他,不明,,,,冷酒,広島県安芸高田市産八反草（契約栽培）,720ml,"2,200円",一般流通,公式オンラインショップで在庫あり,https://fukucho.jp/products/hattansogenkei
今田酒造本店,富久長,,,八反草 サタケシリーズ HENPEI,その他,不明,,,,冷酒,広島県安芸高田市産八反草（契約栽培）,720ml,"2,200円",一般流通,公式オンラインショップで在庫あり,https://fukucho.jp/products/hattansohenpei
今田酒造本店,富久長,,,八反草 純米 ハイブリッド生酛 特別栽培米R3,純米,不明,,,,冷酒 / 常温 / 燗酒,八反草（契約栽培）,720ml,"2,420円",一般流通,公式オンラインショップで在庫あり,https://fukucho.jp/products/hybridkimoto-r3-2021by
今田酒造本店,富久長,,,八反草 純米 ハイブリッド生酛 特別栽培米R4,純米,不明,,,,冷酒 / 常温 / 燗酒,八反草（契約栽培）,720ml,"2,420円",一般流通,公式オンラインショップで在庫あり,https://fukucho.jp/products/hybridkimoto-r4-2022by
