酒蔵,ブランド,シリーズ,主要銘柄,商品名,分類,甘辛目安,日本酒度,精米歩合,アルコール度数,飲み方,使用米,容量,参考価格,流通区分,備考,出典URL
賀茂鶴酒造,賀茂鶴,,○,大吟醸 特製ゴールド賀茂鶴,大吟醸,不明,,,,冷酒 / 燗酒,,"180ml / 300ml / 720ml / 1,800ml","702～6,050円",一般流通,,https://shop.kamotsuru.jp/SHOP/GK-A2.html
賀茂鶴酒造,賀茂鶴,,○,本醸造 からくち,本醸造,不明,,,,冷酒 / 燗酒,,"180ml / 300ml / 720ml / 1,800ml","319～2,310円",一般流通,,https://shop.kamotsuru.jp/SHOP/honkara1800.html
賀茂鶴酒造,賀茂鶴,,○,特別本醸造 超特撰特等酒,特別本醸造,不明,,,,冷酒 / ぬる燗 / 燗酒,,"300ml / 720ml / 1,800ml","704～3,630円",一般流通,,https://shop.kamotsuru.jp/SHOP/tokutou1800.html
賀茂鶴酒造,賀茂鶴,,○,純米吟醸 一滴入魂,純米吟醸,不明,,,,要確認,,"300ml / 720ml / 1,800ml","583～3,630円",一般流通,公式直営ECで販売中を確認。SKU層から商品層へ補完。,https://shop.kamotsuru.jp/SHOP/itteki720.html
賀茂鶴酒造,酒中在心,,○,酒中在心 橙 純米吟醸 生もと 八反35号,純米吟醸,不明,,60％,16度以上17度未満,冷酒 / 常温 / ぬる燗 / 燗酒,八反35号,"720ml / 1,800ml","2,178～3,608円",限定流通,,https://shop.kamotsuru.jp/SHOP/shutyuzaishin-daidai_1800.html
賀茂鶴酒造,賀茂鶴,,,賀茂鶴 光壽,その他,不明,,28%,,要確認,,750ml,"14,300円",一般流通,公式直営ECで販売中を確認。SKU層から商品層へ補完。,https://shop.kamotsuru.jp/SHOP/kouju750.html
賀茂鶴酒造,賀茂鶴,,,吟醸辛口,吟醸,辛口,,,,冷酒 / 燗酒,,"300ml / 720ml / 1,800ml","638～3,993円",一般流通,,https://shop.kamotsuru.jp/SHOP/LG-A1.html
賀茂鶴酒造,賀茂鶴,,,大吟醸 吉祥 賀茂鶴,大吟醸,不明,,,,要確認,,720ml,"13,200円",一般流通,公式直営ECで販売中を確認。SKU層から商品層へ補完。,https://shop.kamotsuru.jp/SHOP/kissho720.html
賀茂鶴酒造,賀茂鶴,,,大吟醸 吟凛雅,大吟醸,不明,,,,要確認,,900ml,"33,000円",一般流通,公式直営ECで販売中を確認。SKU層から商品層へ補完。,https://shop.kamotsuru.jp/SHOP/ginringa900.html
賀茂鶴酒造,賀茂鶴,,,大吟醸 天凜,大吟醸,不明,,,,要確認,,720ml,"18,150円",一般流通,公式直営ECで販売中を確認。SKU層から商品層へ補完。,https://shop.kamotsuru.jp/SHOP/tenrin720.html
